participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
ACV3YJMG,Emtest2,2,int,,,900,1,1, The ,871,442,105,0,330,0.9886465652510675,0.6233333587646485,100.06666564941406,404.8133544921875,140.06666564941406,444.45001220703125,1,1,No,1,1,,442,105,871,,,,,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,1,1,2,31, millions ,1224,472,209,0,311,0.7470525740821732,0.2733333587646484,180.06666564941406,408.41668701171875,220.06666564941406,473.45001220703125,3,1,They ate dinner at work,0,31,5056,472,209,1224,424,138,1631,85.70,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,1,1,2,1, You’ve ,1631,424,138,1,317,0.5033573497453696,0.49833335876464846,100.06666564941406,404.7666873931885,140.06666564941406,466.81666564941406,1,1,They ate dinner at work,0,1,5056,424,138,1631,972,102,2397,549.18,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,1,1,2,12, important ,2397,972,102,0,167,0.1842215019929016,0.47333335876464844,100.06666564941406,911.25,140.06666564941406,991.3166580200195,1,12,They ate dinner at work,0,12,5056,972,102,2397,466,198,3913,515.03,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,1,1,2,31, millions ,3913,466,198,1,200,0.7931827695010634,0.6483333587646485,180.06666564941406,408.41668701171875,220.06666564941406,473.45001220703125,3,1,They ate dinner at work,0,31,5056,466,198,3913,418,222,5147,53.67,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,1,1,2,45," dinner, ",5147,418,222,1,234,0.7378665807283274,0.7483335014979365,220.06666564941406,408.41668701171875,260.06665802001953,467.4833450317383,4,1,They ate dinner at work,0,45,5056,418,222,5147,801,238,5696,383.33,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,1,1,2,54, company. ,5696,801,238,0,333,0.8713296524300029,0.3233334204356042,220.06666564941406,789.783332824707,260.06665802001953,871.5166549682617,4,10,They ate dinner at work,0,54,5056,801,238,5696,992,245,5914,191.13,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,1,1,2,58, government ,5914,992,245,0,168,0.13038926365098283,0.7483335014979365,220.06666564941406,975.599983215332,260.06665802001953,1070.699966430664,4,14,They ate dinner at work,0,58,5056,992,245,5914,494,285,6280,499.60,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,1,1,2,61, to ,6280,494,285,1,233,0.9267273054370596,0.6983336826960912,260.06665802001953,475.45001220703125,300.066650390625,495.4666748046875,5,3,They ate dinner at work,0,61,5056,494,285,6280,,,,,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,2,2,3,14, fewer ,1316,448,141,0,166,0.9908223192035471,0.22333335876464844,140.06666564941406,408.41668701171875,180.06666564941406,457.45001220703125,2,1,Japan will follow in the footsteps of other countries’ paid leave culture,1,14,18249,448,141,1316,986,174,16092,539.01,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,2,2,3,25, of ,16092,986,174,0,3060,0.30474477107056075,0.8483333587646484,140.06666564941406,979.9000244140625,180.06666564941406,999.9166946411133,2,12,Japan will follow in the footsteps of other countries’ paid leave culture,1,25,18249,986,174,16092,512,215,16849,475.77,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,2,2,3,29," holiday, ",16849,512,215,1,267,0.008113465957891315,0.29833335876464845,180.06666564941406,447.4666748046875,220.06666564941406,513.2000122070312,3,2,Japan will follow in the footsteps of other countries’ paid leave culture,1,29,18249,512,215,16849,930,221,17449,418.04,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
ACV3YJMG,Emtest2,1,ele,13,2,2,3,53, ministry. ,17449,930,221,0,251,0.6713039928519356,0.12333338228862424,220.06666564941406,923.5499954223633,260.06665802001953,994.2333297729492,4,13,Japan will follow in the footsteps of other countries’ paid leave culture,1,53,18249,930,221,17449,466,334,19200,477.56,,,,,1970-01-01T00:00:00.494Z,,,,,,,,,spotlight-prolific
