participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
AT3V9VN7,EmTest5,2,int,,,900,1,18, collars ,1317,550,163,0,367,0.27118652456815096,0.09833335876464844,140.06666564941406,545.533332824707,180.06666564941406,602.566650390625,2,5,No,1,18,916,550,163,1317,874,110,1934,328.31,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,,,900,1,11, Commuters ,1934,874,110,0,184,0.9848715452772066,0.34833335876464844,100.06666564941406,864.4333419799805,140.06666564941406,962.4833450317383,1,11,No,1,11,916,874,110,1934,974,114,2233,100.08,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,,,900,1,12, stepped ,2233,974,114,0,300,0.41278644197476544,0.5483333587646484,100.06666564941406,962.4833450317383,140.06666564941406,1031.5666580200195,1,12,No,1,12,916,974,114,2233,,,,,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,1,1,2,3, not ,1305,513,129,0,320,0.9495006639100914,0.7233333587646484,100.06666564941406,501.4833450317383,140.06666564941406,531.5166625976562,1,3,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,1,3,2704648,513,129,1305,447,158,2517,72.09,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,1,1,2,19, they ,2517,447,158,1,217,0.8347562710899703,0.42333335876464845,140.06666564941406,408.41668701171875,180.06666564941406,447.45001220703125,2,1,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,1,19,2704648,447,158,2517,823,150,5700,376.09,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,1,1,2,29, spring ,5700,823,150,0,2949,0.6518656870739695,0.8983333587646485,140.06666564941406,819.7666625976562,180.06666564941406,873.8166580200195,2,11,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,1,29,2704648,823,150,5700,490,294,2649755,362.80,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,1,1,2,66, where ,2649755,490,294,1,249,0.04656161954932218,0.24833359686538636,260.06665802001953,458.4833450317383,300.066650390625,512.533332824707,5,2,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,1,66,2704648,490,294,2649755,454,271,2650337,42.72,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,1,1,2,65," 2013, ",2650337,454,271,1,584,0.7906122468260925,0.7483336922328362,260.06665802001953,408.41668701171875,300.066650390625,458.4833450317383,5,1,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,1,65,2704648,454,271,2650337,553,141,2665203,163.40,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,1,1,2,22, closer ,2665203,553,141,0,233,0.7441862773573937,0.023333358764648437,140.06666564941406,549.533332824707,180.06666564941406,602.566650390625,2,4,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,1,22,2704648,553,141,2665203,589,140,2666237,36.01,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,1,1,2,4, usually ,2666237,589,140,0,1034,0.9907181316542416,0.9733333587646484,100.06666564941406,531.5166625976562,140.06666564941406,592.5666580200195,1,4,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,1,4,2704648,589,140,2666237,593,139,2667537,4.12,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,1,1,2,5, seen ,2667537,593,139,0,1299,0.009837498293995349,0.9483333587646484,100.06666564941406,592.5666580200195,140.06666564941406,636.6166763305664,1,5,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,1,5,2704648,593,139,2667537,436,146,2705953,157.16,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,1,1,2,19, they ,2705953,436,146,1,217,0.5273266595988879,0.048333358764648435,140.06666564941406,408.41668701171875,180.06666564941406,447.45001220703125,2,1,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,1,19,2704648,436,146,2705953,,,,,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,2,2,3,2," March, ",2431,433,110,0,300,0.7590225969056087,0.5233333587646485,100.06666564941406,428.433349609375,140.06666564941406,488.4666748046875,1,2,Eating insects will promote a healthy diet,0,2,2588,433,110,2431,550,128,2914,118.38,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,2,2,3,5, documentary ,2914,550,128,0,399,0.8846624880515341,0.3233333587646484,100.06666564941406,545.4833374023438,140.06666564941406,654.5833206176758,1,5,Eating insects will promote a healthy diet,0,5,2588,550,128,2914,463,176,4315,99.36,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,2,2,3,16, deep-fried ,4315,463,176,1,177,0.9583818625581465,0.5483333587646484,140.06666564941406,462.4833450317383,180.06666564941406,548.5833206176758,2,2,Eating insects will promote a healthy diet,0,16,2588,463,176,4315,962,143,5019,500.09,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
AT3V9VN7,EmTest5,2,int,12,2,2,3,25, jokes ,5019,962,143,0,307,0.574415252132649,0.6733333587646484,140.06666564941406,951.9833450317383,180.06666564941406,999.0166625976562,2,11,Eating insects will promote a healthy diet,0,25,2588,962,143,5019,,,,,,,,,1970-01-01T00:00:00.627Z,,,,,,,,,spotlight-prolific
