participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,word_index,WordIndex,word,response,response_correct,line_number,position_in_line,click_count,skipped,IA_FIRST_RUN_DWELL_TIME,IA_DWELL_TIME,IA_FIRST_FIXATION_DURATION,go_past_time_ms,Wilcox go past,IA_REGRESSION_IN,IA_REGRESSION_OUT,text_total_viewing_time_ms,first_click_x,first_click_duration_ms,total_duration_ms,next_click_regression,first_click_y,x_distance_from_previous_click_px,x_distance_from_previous_click_chars,first_click_x_from_word_left_chars,first_click_x_from_word_center_chars,first_click_x_from_line_start_px,first_click_x_from_line_start_chars,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,1,1, The ,Yes,0,1,1,2,0,250,4133.200000047684,249.89999997615814,250,250,1,0,32199,624,249.89999997615814,4133.200000047684,0,134,,,0.2811,-2.2189,2.23,0.2811,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,2,2, coastal ,Yes,0,1,2,2,0,634,1187.2000000476837,633.6000000238419,634,650,0,0,32199,664,633.6000000238419,1187.2000000476837,0,137,40.00,5.8021,0.3762,-4.1238,42.23,6.1253,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,3,3, tram ,Yes,0,1,3,1,0,690,689.5,689.5,690,703,0,0,32199,725,689.5,689.5,0,137,61.00,8.9234,0.2263,-2.7737,103.23,15.1008,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,4,4, arrived ,Yes,0,1,4,2,0,512,744.8999998569489,512.2999999523163,512,497,0,0,32199,765,512.2999999523163,744.8999998569489,0,137,40.00,5.9969,0.0796,-4.4204,143.23,21.4730,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,5,5, at ,Yes,0,1,5,1,0,215,214.70000004768372,214.70000004768372,215,203,0,0,32199,825,214.70000004768372,214.70000004768372,0,139,60.00,11.9906,0.0999,-1.9001,203.23,40.6139,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,6,6, the ,Yes,0,1,6,1,0,317,316.7999999523163,316.7999999523163,317,297,0,0,32199,845,316.7999999523163,316.7999999523163,0,139,20.00,3.3299,0.0806,-2.4194,223.23,37.1660,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,7,7, station ,Yes,0,1,7,3,0,333,3033.5999999046326,333.39999997615814,333,345,1,0,32199,876,333.39999997615814,3033.5999999046326,0,136,31.00,4.8065,0.2253,-4.2747,254.23,39.4173,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,8,8, two ,Yes,0,1,8,3,0,250,699.3000000715256,249.80000007152557,250,258,0,1,32199,933,249.80000007152557,699.3000000715256,0,132,57.00,8.6323,0.0615,-2.4385,311.23,47.1335,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,9,9, minutes ,Yes,0,1,9,2,0,550,950.1000000238419,550,550,547,0,0,32199,967,550,950.1000000238419,0,132,34.00,4.4979,0.1840,-4.3160,345.23,45.6710,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
BKQS6W9X,69f8a509f5af19e8fa9fed75,2,int,,,900,1,10,10, early. ,Yes,0,1,10,2,0,300,1716.8999999761581,300.1999999284744,300,300,0,0,32199,1034,300.1999999284744,1716.8999999761581,0,137,67.00,11.2398,0.0603,-3.9397,412.23,69.1549,Computer Mouse,Right,2026-07-08,2026-07-08,2026-07-08T18:11:39.916Z,15:11:39,2026-07-08 15:11:39,2026-07-08,2026-07-08T19:14:49.505Z,16:14:49,2026-07-08 16:14:49,3789589,3789589,spotlight-prolific
