participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,442,305229,419,87,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,494,305280,426,91,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,544,305331,426,91,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,595,305382,429,93,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,1, Tatyana ,648,305436,470,108,110.06666564941406,408.41668701171875,130.06666564941406,476.4833526611328,1,1,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,2, Bets ,699,305485,478,110,110.06666564941406,476.48333740234375,130.06666564941406,517.5,1,2,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,2, Bets ,750,305536,502,114,110.06666564941406,476.48333740234375,130.06666564941406,517.5,1,2,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,3, was ,800,305587,539,117,110.06666564941406,517.5,130.06666564941406,554.5166625976562,1,3,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,5, work ,851,305638,583,122,110.06666564941406,574.5333251953125,130.06666564941406,617.5499877929688,1,5,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,6, in ,902,305688,621,124,110.06666564941406,617.5499877929688,130.06666564941406,636.566650390625,1,6,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,8, reception ,952,305738,685,124,110.06666564941406,666.5999755859375,130.06666564941406,745.6833038330078,1,8,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,8, reception ,1002,305789,714,125,110.06666564941406,666.5999755859375,130.06666564941406,745.6833038330078,1,8,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,8, reception ,1052,305839,714,125,110.06666564941406,666.5999755859375,130.06666564941406,745.6833038330078,1,8,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,8, reception ,1103,305889,714,125,110.06666564941406,666.5999755859375,130.06666564941406,745.6833038330078,1,8,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,8, reception ,1153,305940,714,125,110.06666564941406,666.5999755859375,130.06666564941406,745.6833038330078,1,8,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,8, reception ,1203,305990,714,125,110.06666564941406,666.5999755859375,130.06666564941406,745.6833038330078,1,8,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,9, area ,1254,306041,750,111,110.06666564941406,745.683349609375,130.06666564941406,786.7333526611328,1,9,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,1304,306091,809,89,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,1354,306141,809,89,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,1405,306192,809,89,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,1456,306242,809,89,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,1506,306292,809,89,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,1557,306343,809,89,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,1607,306394,809,89,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,-1,999,1658,306445,1017,94,,,,,,,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,16, center ,1708,306495,983,106,110.06666564941406,982.9000244140625,130.06666564941406,1037.9500274658203,1,16,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,15, the ,1758,306545,974,110,110.06666564941406,952.86669921875,130.06666564941406,982.9000244140625,1,15,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,15, the ,1809,306596,976,112,110.06666564941406,952.86669921875,130.06666564941406,982.9000244140625,1,15,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,16, center ,1860,306646,1013,118,110.06666564941406,982.9000244140625,130.06666564941406,1037.9500274658203,1,16,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,17, of ,1911,306697,1042,119,110.06666564941406,1037.949951171875,130.06666564941406,1052.9666137695312,1,17,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,17, of ,1961,306748,1044,119,110.06666564941406,1037.949951171875,130.06666564941406,1052.9666137695312,1,17,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,16, center ,2015,306802,1017,122,110.06666564941406,982.9000244140625,130.06666564941406,1037.9500274658203,1,16,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
2Y3SQMB8,EmTest4,2,int,10,3,18,19,12, hospital ,2065,306852,880,129,110.06666564941406,821.7666625976562,130.06666564941406,888.8333282470703,1,12,It landed on a lake,1,,,,,1970-01-01T00:00:00.320Z,,,,,,,,,spotlight-prolific
