participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,1, The ,1153,410,112,0,347.1999999284744,0.9839122817211383,0.4784374237060547,99.86250305175781,408.010018157959,139.8625030517578,447.6375160217285,1,1,In Russia,1,1,54729,410,112,1153,449,119,1549,39.62,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,2, meteorite ,1549,449,119,0,395.7000000476837,0.9915664609887278,0.5284374237060547,99.86250305175781,447.6375160217285,139.8625030517578,527.6749992370605,1,2,In Russia,1,2,54729,449,119,1549,528,121,1840,79.03,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,3, entered ,1840,528,121,0,291.7000000476837,0.9738832194651743,0.5784374237060547,99.86250305175781,527.6749992370605,139.8625030517578,593.7250137329102,1,3,In Russia,1,3,54729,528,121,1840,594,122,2007,66.01,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,4, the ,2007,594,122,0,166.59999990463257,0.9084090685091896,0.4784374237060547,99.86250305175781,593.7250137329102,139.8625030517578,623.750018119812,1,4,In Russia,1,4,54729,594,122,2007,624,119,2535,30.15,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,5, atmosphere ,2535,624,119,0,527.8000000715256,0.9818863177692291,0.5034374237060547,99.86250305175781,623.750018119812,139.8625030517578,723.8125,1,5,In Russia,1,5,54729,624,119,2535,760,124,2945,136.09,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,8, speed ,2945,760,124,0,270.89999997615814,0.9648468058063681,0.6034374237060547,99.86250305175781,758.8500304222107,139.8625030517578,812.9000301361084,1,8,In Russia,1,8,54729,760,124,2945,854,125,3354,94.01,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,11, least ,3354,854,125,0,222.30000007152557,0.9773381847269498,0.6534374237060547,99.86250305175781,852.9499998092651,139.8625030517578,895.975025177002,1,11,In Russia,1,11,54729,854,125,3354,896,126,3556,42.01,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,12," 33,000 ",3556,896,126,0,201.29999995231628,0.9993750407668403,0.7784374237060547,99.86250305175781,895.975025177002,139.8625030517578,956.0375366210938,1,12,In Russia,1,12,54729,896,126,3556,1035,130,4035,139.06,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,15, hour ,4035,1035,130,0,187.39999997615814,0.0990152669562557,0.7784374237060547,99.86250305175781,1034.0750303268433,139.8625030517578,1073.7150756835938,1,15,In Russia,1,15,54729,1035,130,4035,448,152,4958,587.41,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
4ZT74ULY,69fcc25594e2053127d08976,1,ele,10,2,11,12,17, broke ,4958,448,152,1,201.5,0.9462903105795002,0.3534374237060547,139.8625030517578,446.6500072479248,179.8625030517578,496.68749809265137,2,2,In Russia,1,17,54729,448,152,4958,497,155,5334,49.09,,,2026-07-02,2026-07-02,2026-07-02T18:56:42.419Z,12:56:42,2026-07-02 12:56:42,,,,,,,spotlight-prolific
