participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,-1,999,73,597843,241,49,,,,,,,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,-1,999,117,597886,240,59,,,,,,,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,-1,999,165,597935,244,61,,,,,,,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,-1,999,213,597982,246,61,,,,,,,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,-1,999,261,598030,253,63,,,,,,,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,-1,999,311,598081,262,65,,,,,,,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,16, The ,371,598141,387,106,105.95833587646484,369.16668701171875,125.95833587646484,405.1875228881836,2,2,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,17, city’s ,419,598189,427,129,105.95833587646484,405.1875,125.95833587646484,449.86458587646484,2,3,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,17, city’s ,462,598231,427,129,105.95833587646484,405.1875,125.95833587646484,449.86458587646484,2,3,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,29, high-quality ,513,598282,428,147,145.95834350585938,375.5,165.95834350585938,472.5625,3,3,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,29, high-quality ,561,598331,428,169,145.95834350585938,375.5,165.95834350585938,472.5625,3,3,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,40, cities. ,611,598380,427,204,185.95834350585938,393.4895935058594,205.95834350585938,444.5104293823242,4,3,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,55, from ,670,598439,444,243,225.95834350585938,409.82293701171875,245.95834350585938,450.8333549499512,5,3,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,72, London ,719,598489,470,276,265.9583435058594,459.5208435058594,285.9583435058594,524.5937652587891,6,4,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,-1,999,768,598537,520,321,,,,,,,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
8G7TB4NZ,6a07489ed470672f596f5d61,2,int,26,2,2,3,-1,999,818,598587,543,327,,,,,,,A social tradition of sharing apartments among several people,0,,,2026-07-02,2026-07-02,2026-07-02T16:26:08.232Z,10:26:08,2026-07-02 10:26:08,,,,,,,spotlight-prolific
