participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,50,871433,258,69,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,98,871481,258,69,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,151,871534,265,67,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,202,871585,283,66,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,251,871634,298,72,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,301,871684,305,84,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,349,871733,316,99,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,402,871785,322,105,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,449,871832,324,105,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,499,871882,327,101,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,550,871933,328,95,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,599,871982,328,91,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,651,872034,325,82,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,699,872082,325,79,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,749,872132,325,78,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,801,872184,337,78,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,1, Insects ,851,872234,343,78,66.203125,340.875,86.203125,402.90625,1,1,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,37, show ,901,872285,436,137,146.203125,406.59375,166.203125,453.625,3,3,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,53, supermarket ,953,872336,522,214,186.203125,426.9375,206.203125,531.984375,4,3,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,81, the ,1002,872385,530,258,266.203125,528,286.203125,558.03125,6,5,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,81, the ,1050,872433,532,257,266.203125,528,286.203125,558.03125,6,5,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,68, consumption ,1098,872481,532,250,226.203125,474.984375,246.203125,582.046875,5,4,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,68, consumption ,1150,872533,532,250,220.203125,474.984375,240.203125,582.046875,5,4,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,68, consumption ,1200,872583,532,250,205.203125,474.984375,225.203125,582.046875,5,4,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,81, the ,1249,872632,539,266,230.203125,528,250.203125,558.03125,6,5,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,93, which ,1303,872686,547,301,265.203125,545.984375,285.203125,597.015625,7,4,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,92," Noma, ",1349,872732,529,328,265.203125,487.953125,285.203125,545.984375,7,3,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,1399,872782,512,343,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,1449,872832,502,350,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,1499,872882,502,350,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,1548,872931,502,350,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
A4P4ZRN5,6a1d2376af97b0a397b24a02,2,int,12,1,1,2,-1,999,1599,872982,502,350,,,,,,,A Scandinavian team’s food that includes insects,1,,,2026-07-02,2026-07-02,2026-07-02T18:46:46.766Z,12:46:46,2026-07-02 12:46:46,,,,,,,spotlight-prolific
