participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,1, The ,1217,503,131,0,191,0.979458054200182,0.7987499237060547,106.05000305175781,501.6500015258789,146.0500030517578,539.783332824707,1,1,Yes,0,1,15688,503,131,1217,541,138,2008,38.64,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,2, coastal ,2008,541,138,0,792,0.9727099569439374,0.9987499237060546,106.05000305175781,539.783332824707,146.0500030517578,599.6333084106445,1,2,Yes,0,2,15688,541,138,2008,607,147,2208,66.61,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,17, their ,2208,607,147,0,175,0.9608238563672049,0.1487499237060547,146.0500030517578,605.3500061035156,186.0500030517578,646.6166687011719,2,4,Yes,0,17,15688,607,147,2208,647,153,2461,40.45,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,18, collars ,2461,647,153,0,253,0.29679945543818914,0.04874992370605469,146.0500030517578,646.6166687011719,186.0500030517578,701.8166732788086,2,5,Yes,0,18,15688,647,153,2461,661,146,2883,15.65,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,4, arrived ,2883,661,146,0,422,0.9186853637071007,0.7237499237060547,106.05000305175781,641.0166473388672,146.0500030517578,700.8666839599609,1,4,Yes,0,4,15688,661,146,2883,702,136,3334,42.20,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,5, at ,3334,702,136,0,450,0.9598656715789522,0.7237499237060547,106.05000305175781,700.8666839599609,146.0500030517578,720.8000106811523,1,5,Yes,0,5,15688,702,136,3334,752,135,3784,50.01,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,7, station ,3784,752,135,0,309,0.987348763967612,0.7737499237060547,106.05000305175781,751.4666595458984,146.0500030517578,810.7500076293945,1,7,Yes,0,7,15688,752,135,3784,811,137,4042,59.03,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,8, two ,4042,811,137,0,257,0.9957624534235182,0.8487499237060547,106.05000305175781,810.7500076293945,146.0500030517578,846.1500091552734,1,8,Yes,0,8,15688,811,137,4042,847,140,4351,36.12,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,9, minutes ,4351,847,140,0,309,0.16010803489855965,0.023749923706054686,106.05000305175781,846.1500091552734,146.0500030517578,913.9166946411133,1,9,Yes,0,9,15688,847,140,4351,927,146,5119,80.22,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,10, early. ,5119,927,146,0,335,0.001775603927306102,0.5487499237060547,106.05000305175781,913.9166946411133,146.0500030517578,960.8333282470703,1,10,Yes,0,10,15688,927,146,5119,913,128,5528,22.80,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,9, minutes ,5528,913,128,1,410,0.9569597565499535,0.5987499237060547,106.05000305175781,846.1500091552734,146.0500030517578,913.9166946411133,1,9,Yes,0,9,15688,913,128,5528,914,129,5842,1.41,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,10, early. ,5842,914,129,0,314,0.9609237043205603,0.6487499237060547,106.05000305175781,913.9166946411133,146.0500030517578,960.8333282470703,1,10,Yes,0,10,15688,914,129,5842,961,132,6125,47.10,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,11, Commuters ,6125,961,132,0,282,0.931313468014662,0.6487499237060547,106.05000305175781,960.8333282470703,146.0500030517578,1057.650001525879,1,11,Yes,0,11,15688,961,132,6125,1059,133,6614,98.01,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,12, stepped ,6614,1059,133,0,490,0.19550882253434512,0.6987499237060547,106.05000305175781,1057.650001525879,146.0500030517578,1125.9333572387695,1,12,Yes,0,12,15688,1059,133,6614,537,168,7815,523.17,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,15, fog ,7815,537,168,1,693,0.9793292920572149,0.7237499237060547,146.0500030517578,535.783332824707,186.0500030517578,565.6166763305664,2,2,Yes,0,15,15688,537,168,7815,536,146,10386,22.02,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,1, The ,10386,536,146,1,790,0.9270104989544261,0.6487499237060547,106.05000305175781,501.6500015258789,146.0500030517578,539.783332824707,1,1,Yes,0,1,15688,536,146,10386,600,132,10759,65.51,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,3, tram ,10759,600,132,0,250,0.9995977284748323,0.6987499237060547,106.05000305175781,599.6333084106445,146.0500030517578,641.0166473388672,1,3,Yes,0,3,15688,600,132,10759,643,134,11521,43.05,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,4, arrived ,11521,643,134,0,763,0.9855190738570829,0.7987499237060547,106.05000305175781,641.0166473388672,146.0500030517578,700.8666839599609,1,4,Yes,0,4,15688,643,134,11521,722,138,11829,79.10,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,6, the ,11829,722,138,0,233,0.9847828320610896,0.8237499237060547,106.05000305175781,720.8000106811523,146.0500030517578,751.4666595458984,1,6,Yes,0,6,15688,722,138,11829,753,139,12012,31.02,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,7, station ,12012,753,139,0,183,0.987348763967612,0.8237499237060547,106.05000305175781,751.4666595458984,146.0500030517578,810.7500076293945,1,7,Yes,0,7,15688,753,139,12012,847,139,12363,94.00,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,9, minutes ,12363,847,139,0,233,0.9274467298221241,0.7237499237060547,106.05000305175781,846.1500091552734,146.0500030517578,913.9166946411133,1,9,Yes,0,9,15688,847,139,12363,914,135,12921,67.12,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
CMCJSK9P,6a1716bf61fdfdc4b2375cb9,2,int,,,900,1,10, early. ,12921,914,135,0,559,0.9822381065515216,0.7737499237060547,106.05000305175781,913.9166946411133,146.0500030517578,960.8333282470703,1,10,Yes,0,10,15688,914,135,12921,961,137,13305,47.04,,,2026-07-02,2026-07-02,2026-07-02T16:28:39.156Z,12:28:39,2026-07-02 12:28:39,,,,,,,spotlight-prolific
