participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,4, solution ,1484,757,114,0,284.5,0.9778606385457935,0.318359375,113.265625,725.4375,153.265625,792.484375,1,4,Certain types of light,1,4,11116,757,114,1484,811,127,1784,55.54,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,6, not ,1784,811,127,0,250,0.8829344432882414,0.418359375,113.265625,810.484375,153.265625,840.515625,1,6,Certain types of light,1,6,11116,811,127,1784,861,133,2067,50.36,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,8, tell ,2067,861,133,0,200,0.9804796430563302,0.568359375,113.265625,860.53125,153.265625,888.546875,1,8,Certain types of light,1,8,11116,861,133,2067,891,136,2400,30.15,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,9, teenagers ,2400,891,136,0,333.40000009536743,0.9693240264511389,0.618359375,113.265625,888.546875,153.265625,973.609375,1,9,Certain types of light,1,9,11116,891,136,2400,994,138,2650,103.02,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,11, go ,2650,994,138,0,166.7000002861023,0.9338327091136079,0.643359375,113.265625,993.625,153.265625,1018.65625,1,11,Certain types of light,1,11,11116,994,138,2650,1019,139,2850,25.02,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,12, to ,2850,1019,139,0,200,0.9164715066354411,0.643359375,113.265625,1018.65625,153.265625,1038.671875,1,12,Certain types of light,1,12,11116,1019,139,2850,1040,139,3150,21.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,13, bed ,3150,1040,139,0,300.09999990463257,0.9224253232278199,0.643359375,113.265625,1038.671875,153.265625,1073.71875,1,13,Certain types of light,1,13,11116,1040,139,3150,1076,139,3384,36.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,14, earlier. ,3384,1076,139,0,233.19999980926514,0.953414505029116,0.643359375,113.265625,1073.71875,153.265625,1132.75,1,14,Certain types of light,1,14,11116,1076,139,3384,1180,139,3750,104.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,16, body’s ,3750,1180,139,0,233.30000019073486,0.8151515151515152,0.643359375,113.265625,1174.765625,153.265625,1231.484375,1,16,Certain types of light,1,16,11116,1180,139,3750,1234,139,3934,54.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,17, natural ,3934,1234,139,0,183.2999997138977,0.1546977008231621,0.643359375,113.265625,1231.484375,153.265625,1286.53125,1,17,Certain types of light,1,17,11116,1234,139,3934,747,154,4233,487.23,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,20, controlled ,4233,747,154,1,183.19999980926514,0.031414597441685475,0.418359375,153.265625,703.390625,193.265625,786.453125,2,3,Certain types of light,1,20,11116,747,154,4233,697,173,4484,53.49,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,19, is ,4484,697,173,1,250.09999990463257,0.1449652777777778,0.443359375,153.265625,685.390625,193.265625,703.390625,2,2,Certain types of light,1,19,11116,697,173,4484,683,170,4834,14.32,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,18, rhythm ,4834,683,170,1,350,0.8768549856808123,0.468359375,153.265625,625.375,193.265625,685.390625,2,1,Certain types of light,1,18,11116,683,170,4834,710,172,5150,27.07,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,20, controlled ,5150,710,172,0,266.90000009536743,0.9825056433408578,0.418359375,153.265625,703.390625,193.265625,786.453125,2,3,Certain types of light,1,20,11116,710,172,5150,826,169,5767,116.04,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,23, particular ,5767,826,169,0,500.09999990463257,0.9302095689996046,0.468359375,153.265625,825.484375,193.265625,904.515625,2,6,Certain types of light,1,23,11116,826,169,5767,964,175,6100,138.13,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,26," light,” ",6100,964,175,0,183.60000038146973,0.9674952198852772,0.618359375,153.265625,962.5625,193.265625,1011.59375,2,9,Certain types of light,1,26,11116,964,175,6100,1012,178,6334,48.09,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,27, says ,6334,1012,178,0,233.19999980926514,0.9854964670881369,0.593359375,153.265625,1011.59375,193.265625,1053.609375,2,10,Certain types of light,1,27,11116,1012,178,6334,1159,170,6684,147.22,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,30, eye ,6684,1159,170,0,166.7999997138977,0.9600550964187328,0.393359375,153.265625,1153.328125,193.265625,1187.359375,2,13,Certain types of light,1,30,11116,1159,170,6684,1225,168,7034,66.03,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,32, cells ,7034,1225,168,0,250.09999990463257,0.2099047619047619,0.243359375,153.265625,1221.390625,193.265625,1262.40625,2,15,Certain types of light,1,32,11116,1225,168,7034,1010,166,7367,215.01,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,26," light,” ",7367,1010,166,1,183.69999980926514,0.9267049075844487,0.593359375,153.265625,962.5625,193.265625,1011.59375,2,9,Certain types of light,1,26,11116,1010,166,7367,711,225,8368,304.77,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,36, a ,8368,711,225,1,267.90000009536743,0.9708636836628513,0.793359375,193.265625,697.421875,233.265625,712.4375,3,3,Certain types of light,1,36,11116,711,225,8368,713,225,8634,2.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,37, part ,8634,713,225,0,265.2999997138977,0.8482220294882914,0.768359375,193.265625,712.4375,233.265625,748.46875,3,4,Certain types of light,1,37,11116,713,225,8634,799,227,8967,86.02,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,40, brain ,8967,799,227,0,266.69999980926514,0.9656488549618321,0.843359375,193.265625,798.515625,233.265625,843.546875,3,7,Certain types of light,1,40,11116,799,227,8967,880,227,9334,81.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,42, controls ,9334,880,227,0,300.09999990463257,0.9910427193385393,0.843359375,193.265625,878.578125,233.265625,946.609375,3,9,Certain types of light,1,42,11116,880,227,9334,980,227,9634,100.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,44, sleep ,9634,980,227,0,233.2999997138977,0.9440650406504065,0.843359375,193.265625,977.640625,233.265625,1025.6875,3,11,Certain types of light,1,44,11116,980,227,9634,1026,227,9950,46.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,45, rhythms ,9950,1026,227,0,316.7000002861023,0.975322617160969,0.843359375,193.265625,1025.6875,233.265625,1094.703125,3,12,Certain types of light,1,45,11116,1026,227,9950,1152,226,10400,126.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,48, 24-hour ,10400,1152,226,0,266.7000002861023,0.973199720344908,0.768359375,193.265625,1149.75,233.265625,1216.796875,3,15,Certain types of light,1,48,11116,1152,226,10400,668,259,11417,485.12,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,52, saying: ,11417,668,259,1,200,0.9929488793754722,0.568359375,233.265625,657.390625,273.265625,719.4375,4,2,Certain types of light,1,52,11116,668,259,11417,768,256,11884,100.04,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,54, can’t ,11884,768,256,0,416.69999980926514,0.8264342774146696,0.593359375,233.265625,764.4375,273.265625,807.46875,4,4,Certain types of light,1,54,11116,768,256,11884,902,265,12200,134.30,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,57, your ,12200,902,265,0,200.09999990463257,0.9110070257611241,0.793359375,233.265625,900.53125,273.265625,940.5625,4,7,Certain types of light,1,57,11116,902,265,12200,945,265,12600,43.00,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
DER3XG55,69ab285f1a011ed904dc50d9,1,ele,29,3,24,25,58, heartbeat?’” ,12600,945,265,0,400,0.9583995292733157,0.693359375,233.265625,940.5625,273.265625,1040.142578125,4,8,Certain types of light,1,58,11116,945,265,12600,,,,,,,,,1970-01-01T00:00:00.022Z,,,,,,,,,spotlight-prolific
