participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,1, The ,903,327,60,0,451.6999999284744,0.9352218173857292,0.7181401845519,55.27805805206299,323.94946441650393,95.27295398712158,363.5663070678711,1,1,Hung in the caves,0,1,32331,327,60,903,365,84,1187,44.94,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,2, Spanish ,1187,365,84,0,284.2000000476837,0.9770545138634913,0.793149755894984,55.27805805206299,363.5663070678711,95.27295398712158,433.607120513916,1,2,Hung in the caves,0,2,32331,365,84,1187,434,87,1405,69.07,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,3, team ,1405,434,87,0,217.60000002384186,0.9639582854716324,0.8431561367903734,55.27805805206299,433.607120513916,95.27295398712158,478.62242889404297,1,3,Hung in the caves,0,3,32331,434,87,1405,479,89,2408,45.04,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,4, started ,2408,479,89,0,1003.2999999523163,0.9560487434543792,0.7681465654472893,55.27805805206299,478.62242889404297,95.27295398712158,538.6377487182617,1,4,Hung in the caves,0,4,32331,479,89,2408,540,86,2692,61.07,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,5, their ,2692,540,86,0,284.39999997615814,0.9338180576987892,0.7431433749995946,55.27805805206299,538.6377487182617,95.27295398712158,578.6479530334473,1,5,Hung in the caves,0,5,32331,540,86,2692,579,85,2910,39.01,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,6, work ,2910,579,85,0,217.5,0.9617900158373148,0.6681338036565105,55.27805805206299,578.6479530334473,95.27295398712158,621.6428337097168,1,6,Hung in the caves,0,6,32331,579,85,2910,623,82,3127,44.10,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,7, after ,3127,623,82,0,217.40000009536743,0.9594538766079735,0.6931369941042053,55.27805805206299,621.6428337097168,95.27295398712158,662.6632175445557,1,7,Hung in the caves,0,7,32331,623,82,3127,678,83,3512,55.01,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,9, group ,3512,678,83,0,267.5,0.9469112542838308,0.7431433749995946,55.27805805206299,677.6785206794739,95.27295398712158,728.7091522216797,1,9,Hung in the caves,0,9,32331,678,83,3512,729,84,3696,51.01,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,10, of ,3696,729,84,0,184,0.9136099818019625,0.6681338036565105,55.27805805206299,728.7091522216797,95.27295398712158,748.7295637130737,1,10,Hung in the caves,0,10,32331,729,84,3696,749,82,3863,20.10,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
FCLA6X6M,698345206d65b526d5a59d68,2,int,23,3,18,19,11, cave ,3863,749,82,0,167.30000007152557,0.7965145332402005,0.6681338036565105,55.27805805206299,748.7295637130737,95.27295398712158,791.7550640106201,1,11,Hung in the caves,0,11,32331,749,82,3863,793,79,4248,44.10,,,2026-07-02,2026-07-02,2026-07-02T17:23:39.988Z,14:23:39,2026-07-02 14:23:39,,,,,,,spotlight-prolific
