participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,1, Researchers ,1286,359,60,0,683.3000000007451,0.910745660271277,0.569921875,56.203125,336.7578125,96.203125,447.921875,1,1,His home,1,1,41631,359,60,1286,448,81,1787,91.44,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,2, believe ,1787,448,81,0,500.69999999925494,0.9682699571896248,0.644921875,56.203125,447.921875,96.203125,509.96875,1,2,His home,1,2,41631,448,81,1787,512,82,2419,64.01,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,3, Erdmann’s ,2419,512,82,0,632.5,0.8932139166379607,0.769921875,56.203125,509.96875,96.203125,600.6875,1,3,His home,1,3,41631,512,82,2419,604,89,3154,92.27,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,4," grandfather, ",3154,604,89,0,733.6000000014901,0.992425413510589,0.719921875,56.203125,600.6875,96.203125,701.765625,1,4,His home,1,4,41631,604,89,3154,703,85,3686,99.08,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,5, Richard ,3686,703,85,0,533.5999999977648,0.9582750582750583,0.719921875,56.203125,701.765625,96.203125,768.796875,1,5,His home,1,5,41631,703,85,3686,774,85,4135,71.00,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,6," Platz, ",4135,774,85,0,449.30000000074506,0.9834478450968145,0.669921875,56.203125,768.796875,96.203125,818.828125,1,6,His home,1,6,41631,774,85,4135,898,82,4673,124.04,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,9, bottle ,4673,898,82,0,388,0.1653392800254858,0.694921875,56.203125,897.890625,96.203125,946.9375,1,9,His home,1,9,41631,898,82,4673,442,61,5118,456.48,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,1, Researchers ,5118,442,61,1,350,0.2990371775950524,0.969921875,56.203125,336.7578125,96.203125,447.921875,1,1,His home,1,1,41631,442,61,5118,363,104,5618,89.94,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,12, sea ,5618,363,104,1,500,0.9762441122260905,0.494921875,96.203125,336.7578125,136.203125,374.90625,2,1,His home,1,12,41631,363,104,5618,384,118,6019,25.24,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,13, while ,6019,384,118,0,400,0.9361846571622539,0.544921875,96.203125,374.90625,136.203125,420.9375,2,2,His home,1,13,41631,384,118,6019,464,118,6402,80.00,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,16, hike ,6402,464,118,0,233.20000000298023,0.9995891536565324,0.594921875,96.203125,460.984375,136.203125,499.015625,2,5,His home,1,16,41631,464,118,6402,503,120,6753,39.05,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,17, in ,6753,503,120,0,351.5999999977648,0.9983566146261298,0.619921875,96.203125,499.015625,136.203125,518.03125,2,6,His home,1,17,41631,503,120,6753,571,121,7052,68.01,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,19, He ,7052,571,121,0,199.80000000074506,0.9966536530953709,0.619921875,96.203125,568.078125,136.203125,596.09375,2,8,His home,1,19,41631,571,121,7052,597,121,8219,26.00,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
GQ33ARGR,6a033acb0a8d2884cfb8a924,2,int,1,4,4,5,20, was ,8219,597,121,0,1166.8999999985099,0.9700295483326298,0.694921875,96.203125,596.09375,136.203125,633.109375,2,9,His home,1,20,41631,597,121,8219,660,126,8653,63.20,,,2026-07-02,2026-07-02,2026-07-02T18:48:26.488Z,12:48:26,2026-07-02 12:48:26,,,,,,,spotlight-prolific
