participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,28,559167,560,98,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,78,559217,560,98,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,141,559280,560,98,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,180,559319,560,98,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,229,559368,537,119,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,278,559417,592,168,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,333,559472,608,176,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,390,559529,608,176,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,439,559577,608,176,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,-1,999,480,559619,612,171,,,,,,,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
HFGPMT3R,6a0fcd3310957a693aa312f2,2,int,17,3,8,9,16, days ,528,559667,629,156,163.265625,625.375,183.265625,668.40625,2,1,Solar energy will make up a third of Morocco’s renewable energy supply by 2020,0,,,2026-06-30,2026-06-30,2026-06-30T15:29:37.149Z,10:29:37,2026-06-30 10:29:37,,,,,,,spotlight-prolific
