participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,2, was ,1602,238,76,0,533.8000001907349,0.8464808339779976,0.4914772272109985,55.34091091156006,233.67132759094238,95.34091091156006,270.6818199157715,1,2,"They will not look for another octopus, but if they are offered one, they might take it",1,2,78515,238,76,1602,287,75,1818,49.01,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,3, brought ,1818,287,75,0,216,0.9587823343553387,0.46647722721099855,55.34091091156006,270.6818199157715,95.34091091156006,336.7220230102539,1,3,"They will not look for another octopus, but if they are offered one, they might take it",1,3,78515,287,75,1818,341,74,1986,54.01,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,4, to ,1986,341,74,0,167.59999990463257,0.9630572801725177,0.4414772272109985,55.34091091156006,336.7220230102539,95.34091091156006,356.73950004577637,1,4,"They will not look for another octopus, but if they are offered one, they might take it",1,4,78515,341,74,1986,398,73,2501,57.01,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,6, National ,2501,398,73,0,482.19999980926514,0.9598902374186784,0.39147722721099854,55.34091091156006,386.76572132110596,95.34091091156006,456.8094367980957,1,6,"They will not look for another octopus, but if they are offered one, they might take it",1,6,78515,398,73,2501,539,74,2770,141.00,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,8, a ,2770,539,74,0,185.2999997138977,0.943074817663103,0.5164772272109985,55.34091091156006,538.8374099731445,95.34091091156006,553.8548717498779,1,8,"They will not look for another octopus, but if they are offered one, they might take it",1,8,78515,539,74,2770,554,76,3103,15.13,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,9, number ,3103,554,76,0,332.40000009536743,0.971561228483885,0.7164772272109985,55.34091091156006,553.8548717498779,95.34091091156006,619.8776054382324,1,9,"They will not look for another octopus, but if they are offered one, they might take it",1,9,78515,554,76,3103,692,94,3601,139.17,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,12, ago ,3601,692,94,0,448.69999980926514,0.9731035142811941,0.9914772272109985,55.34091091156006,688.9073333740234,95.34091091156006,723.9423179626465,1,12,"They will not look for another octopus, but if they are offered one, they might take it",1,12,78515,692,94,3601,271,118,4686,421.68,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,16, fisherman ,4686,271,118,1,633.5999999046326,0.9577315575973878,0.4914772272109985,95.34091091156006,192.49708779652914,135.34091091156006,279.68531036376953,2,1,"They will not look for another octopus, but if they are offered one, they might take it",1,16,78515,271,118,4686,281,114,4986,10.77,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,17, who ,4986,281,114,0,299.69999980926514,0.9552542088173046,0.4414772272109985,95.34091091156006,279.68531036376953,135.34091091156006,317.7010440826416,2,2,"They will not look for another octopus, but if they are offered one, they might take it",1,17,78515,281,114,4986,320,113,5238,39.01,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
L2LPDHEX,69f4f5fd64f711ea025bea82,3,adv,11,4,4,5,18, found ,5238,320,113,0,250.30000019073486,0.9451528883518421,0.4414772272109985,95.34091091156006,317.7010440826416,135.34091091156006,367.74475288391113,2,3,"They will not look for another octopus, but if they are offered one, they might take it",1,18,78515,320,113,5238,405,113,5952,85.00,,,2026-07-02,2026-07-02,2026-07-02T21:00:11.835Z,15:00:11,2026-07-02 15:00:11,,,,,,,spotlight-prolific
