participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,1," “Remember,” ",1566,402,112,0,583.4000000953674,0.978941167807967,0.7369140625,99.5234375,396.14302884615387,139.5234375,510.40625,1,1,Whether the park’s night sky is sufficiently dark,1,1,48968,402,112,1566,511,130,2283,110.48,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,2, Fildes ,2283,511,130,0,716.5999999046326,0.9354553492484527,0.8119140625,99.5234375,510.40625,139.5234375,563.421875,1,2,Whether the park’s night sky is sufficiently dark,1,2,48968,511,130,2283,566,132,2733,55.04,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,3, tells ,2733,566,132,0,450,0.9881806669480794,0.7869140625,99.5234375,563.421875,139.5234375,600.4375,1,3,Whether the park’s night sky is sufficiently dark,1,3,48968,566,132,2733,738,139,3333,172.14,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,7, about ,3333,738,139,0,166.70000004768372,0.9959413050265377,0.6619140625,99.5234375,711.15625,139.5234375,761.203125,1,7,Whether the park’s night sky is sufficiently dark,1,7,48968,738,139,3333,763,125,4099,28.65,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,8," interaction, ",4099,763,125,0,765.7999999523163,0.986483082864579,0.7119140625,99.5234375,761.203125,139.5234375,854.2578125,1,8,Whether the park’s night sky is sufficiently dark,1,8,48968,763,125,4099,881,129,4516,118.07,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,10, about ,4516,881,129,0,283.2000000476837,0.9801748360911645,0.5869140625,99.5234375,880.9453125,139.5234375,930.9921875,1,10,Whether the park’s night sky is sufficiently dark,1,10,48968,881,129,4516,450,105,4977,431.67,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,1," “Remember,” ",4977,450,105,1,199.60000002384186,0.2175413129687482,0.9869140625,99.5234375,396.14302884615387,139.5234375,510.40625,1,1,Whether the park’s night sky is sufficiently dark,1,1,48968,450,105,4977,422,144,5344,48.01,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,12, it’s ,5344,422,144,1,367,0.9979786200194364,0.6619140625,139.5234375,396.14302884615387,179.5234375,427.0625,2,1,Whether the park’s night sky is sufficiently dark,1,12,48968,422,144,5344,429,166,5611,23.09,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,13, about ,5611,429,166,0,266.8000000715256,0.9978145488604433,0.7119140625,139.5234375,427.0625,179.5234375,477.109375,2,2,Whether the park’s night sky is sufficiently dark,1,13,48968,429,166,5611,480,168,6283,51.04,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,14, inspiring ,6283,480,168,0,672.0999999046326,0.9701767704153562,0.7369140625,139.5234375,477.109375,179.5234375,549.1484375,2,3,Whether the park’s night sky is sufficiently dark,1,14,48968,480,168,6283,551,169,6600,71.01,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,15, people.” ,6600,551,169,0,316.5,0.9971004795360767,0.5369140625,139.5234375,549.1484375,179.5234375,619.203125,2,4,Whether the park’s night sky is sufficiently dark,1,15,48968,551,169,6600,621,161,7250,70.46,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,16," Fildes, ",7250,621,161,0,650.2000000476837,0.87545442305103,0.5119140625,139.5234375,619.203125,179.5234375,677.2265625,2,5,Whether the park’s night sky is sufficiently dark,1,16,48968,621,161,7250,746,164,7833,125.04,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,20, the ,7833,746,164,0,233.30000007152557,0.9570647931303669,0.5369140625,139.5234375,745.265625,179.5234375,775.2890625,2,9,Whether the park’s night sky is sufficiently dark,1,20,48968,746,164,7833,776,162,8533,30.07,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,21, forefront ,8533,776,162,0,700,0.9260383906300835,0.6619140625,139.5234375,775.2890625,179.5234375,847.328125,2,10,Whether the park’s night sky is sufficiently dark,1,21,48968,776,162,8533,942,171,9100,166.24,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,25, burgeoning ,9100,942,171,0,366.6999999284744,0.031144668514447724,0.4869140625,139.5234375,940.0625,179.5234375,1034.3804086538462,2,14,Whether the park’s night sky is sufficiently dark,1,25,48968,942,171,9100,456,182,10366,486.12,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,26, astrotourism ,10366,456,182,1,1049.1000000238419,0.996247571468221,0.5619140625,179.5234375,396.14302884615387,219.5234375,504.40625,3,1,Whether the park’s night sky is sufficiently dark,1,26,48968,456,182,10366,506,201,10766,53.49,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,27, industry. ,10766,506,201,0,400.7999999523163,0.9727014632015724,0.5369140625,179.5234375,504.40625,219.5234375,575.953125,3,2,Whether the park’s night sky is sufficiently dark,1,27,48968,506,201,10766,577,202,10933,71.01,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,28, The ,10933,577,202,0,166.70000004768372,0.9215686274509803,0.5869140625,179.5234375,575.953125,219.5234375,611.8125,3,3,Whether the park’s night sky is sufficiently dark,1,28,48968,577,202,10933,613,204,11433,36.06,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,29, pivotal ,11433,613,204,0,500.09999990463257,0.8974113135186961,0.5869140625,179.5234375,611.8125,219.5234375,668.8515625,3,4,Whether the park’s night sky is sufficiently dark,1,29,48968,613,204,11433,767,209,12183,154.08,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,32, Northumberland ,12183,767,209,0,516.7999999523163,0.03070916613250976,0.7119140625,179.5234375,764.8828125,219.5234375,898.953125,3,7,Whether the park’s night sky is sufficiently dark,1,32,48968,767,209,12183,763,208,12444,4.12,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
L5D295B6,6a0c6cb0ba0a1e1755d82e28,3,adv,6,2,2,3,31, for ,12444,763,208,1,260.5,0.8122559327125263,0.7119140625,179.5234375,738.875,219.5234375,764.8828125,3,6,Whether the park’s night sky is sufficiently dark,1,31,48968,763,208,12444,766,208,14728,3.00,,,2026-07-06,2026-07-06,2026-07-06T21:24:10.850Z,18:24:10,2026-07-06 18:24:10,,,,,,,spotlight-prolific
