participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,45, (that ,766,558,177,0,249.60000002384186,0.853008377760853,0.119921875,176.203125,540,216.203125,581.03125,4,6,Both are scary to wolves,1,45,22297,558,177,766,376,75,1517,208.63,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,1, The ,1517,376,75,1,534,0.8005203816131828,0.694921875,56.203125,337.271875,96.203125,376.90625,1,1,Both are scary to wolves,1,1,22297,376,75,1517,381,84,1818,10.30,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,2, Polish ,1818,381,84,0,300.10000002384186,0.9456333140543667,0.719921875,56.203125,376.90625,96.203125,430.9375,1,2,Both are scary to wolves,1,2,22297,381,84,1818,431,85,2517,50.01,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,3, government ,2517,431,85,0,700,0.8800749531542785,0.569921875,56.203125,430.9375,96.203125,531,1,3,Both are scary to wolves,1,3,22297,431,85,2517,579,81,3383,148.05,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,5, compensation ,3383,579,81,0,816.2999999523163,0.9819831843053517,0.544921875,56.203125,574.03125,96.203125,691.109375,1,5,Both are scary to wolves,1,5,22297,579,81,3383,764,78,4017,185.02,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,8, animals ,4017,764,78,0,433.7000000476837,0.9974358974358974,0.369921875,56.203125,758.140625,96.203125,825.171875,1,8,Both are scary to wolves,1,8,22297,764,78,4017,831,72,4433,67.27,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,9, killed ,4433,831,72,0,416.60000002384186,0.061439239646978956,0.669921875,56.203125,825.171875,96.203125,871.203125,1,9,Both are scary to wolves,1,9,22297,831,72,4433,823,83,4732,13.60,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,8, animals ,4732,823,83,1,299.59999990463257,0.11724941724941725,0.669921875,56.203125,758.140625,96.203125,825.171875,1,8,Both are scary to wolves,1,8,22297,823,83,4732,688,90,5082,135.18,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,5, compensation ,5082,688,90,1,250,0.947817963432537,0.794921875,56.203125,574.03125,96.203125,691.109375,1,5,Both are scary to wolves,1,5,22297,688,90,5082,760,89,5565,72.01,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
M4CS5ZY6,69820c7ea2f7dc2c07312700,2,int,19,4,4,5,8, animals ,5565,760,89,0,283.2999999523163,0.9228438228438228,0.644921875,56.203125,758.140625,96.203125,825.171875,1,8,Both are scary to wolves,1,8,22297,760,89,5565,828,82,5815,68.36,,,2026-07-08,2026-07-08,2026-07-08T17:20:43.929Z,14:20:43,2026-07-08 14:20:43,,,,,,,spotlight-prolific
