participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,1, But ,1034,623,134,0,316.8000000715256,0.2221729490022173,0.543359375,113.265625,622.171875,153.265625,657.40625,1,1,The working day should be adjusted to our natural rhythms,1,1,24668,623,134,1034,781,153,1768,159.14,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,5, students ,1768,781,153,0,383.89999997615814,0.9794652406417113,0.743359375,113.265625,741.453125,153.265625,814.5,1,5,The working day should be adjusted to our natural rhythms,1,5,24668,781,153,1768,910,142,2451,129.47,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,8, benefit ,2451,910,142,0,449.6999999284744,0.8372585340037046,0.643359375,113.265625,904.5625,153.265625,963.609375,1,8,The working day should be adjusted to our natural rhythms,1,8,24668,910,142,2451,1020,146,3001,110.07,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,11, later ,3001,1020,146,0,433.59999990463257,0.9332552693208431,0.818359375,113.265625,1019.640625,153.265625,1059.671875,1,11,The working day should be adjusted to our natural rhythms,1,11,24668,1020,146,3001,1107,146,3217,87.00,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,13, Kelley ,3217,1107,146,0,166.79999995231628,0.9496818970503181,0.818359375,113.265625,1104.6875,153.265625,1158.71875,1,13,The working day should be adjusted to our natural rhythms,1,13,24668,1107,146,3217,1162,146,3401,55.00,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,14, says ,3401,1162,146,0,183.5,0.9587207140200819,0.818359375,113.265625,1158.71875,153.265625,1200.734375,1,14,The working day should be adjusted to our natural rhythms,1,14,24668,1162,146,3401,1232,146,3734,70.00,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,16, working ,3734,1232,146,0,199.79999995231628,0.432814371257485,0.793359375,113.265625,1230.765625,153.265625,1296,1,16,The working day should be adjusted to our natural rhythms,1,16,24668,1232,146,3734,709,164,4084,523.31,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,18, should ,4084,709,164,1,233.59999990463257,0.21695827725437417,0.743359375,153.265625,659.40625,193.265625,717.453125,2,2,The working day should be adjusted to our natural rhythms,1,18,24668,709,164,4084,795,183,5317,88.07,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,21, forgiving ,5317,795,183,0,450,0.8282352941176471,0.693359375,153.265625,788.5,193.265625,861.546875,2,5,The working day should be adjusted to our natural rhythms,1,21,24668,795,183,5317,916,184,5700,121.00,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,24, natural ,5700,916,184,0,266.5,0.9060629716367421,0.843359375,153.265625,912.59375,193.265625,972.640625,2,8,The working day should be adjusted to our natural rhythms,1,24,24668,916,184,5700,976,188,6167,60.13,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
MUMRL963,6a07dc61ce1e15467ee1e84c,3,adv,29,4,17,18,25, rhythms. ,6167,976,188,0,466.8000000715256,0.9100696643445219,0.893359375,153.265625,972.640625,193.265625,1046.65625,2,9,The working day should be adjusted to our natural rhythms,1,25,24668,976,188,6167,1056,188,6401,80.00,,,2026-07-02,2026-07-02,2026-07-02T16:28:37.629Z,10:28:37,2026-07-02 10:28:37,,,,,,,spotlight-prolific
