participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,1, Inzozi ,850,352,95,0,466.59999999962747,0.8117647058823529,0.683203125,55.671875,312.123046875,95.671875,367.40625,1,1,Odile Gakire Katese,0,1,27478,352,95,850,459,79,1316,108.19,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,4, opened ,1316,459,79,0,266.5,0.9767106842737094,0.558203125,55.671875,454.4375,95.671875,519.515625,1,4,Odile Gakire Katese,0,4,27478,459,79,1316,521,78,1667,62.01,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,5, by ,1667,521,78,0,349.90000000037253,0.020169160702667534,0.633203125,55.671875,519.515625,95.671875,543.53125,1,5,Odile Gakire Katese,0,5,27478,521,78,1667,417,81,1950,104.04,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,2, Nziza ,1950,417,81,1,166.69999999925494,0.9115901280849734,0.658203125,55.671875,367.40625,95.671875,417.421875,1,2,Odile Gakire Katese,0,2,27478,417,81,1950,456,82,2266,39.01,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,4, opened ,2266,456,82,0,216.5,0.9152460984393758,0.658203125,55.671875,454.4375,95.671875,519.515625,1,4,Odile Gakire Katese,0,4,27478,456,82,2266,807,71,3016,351.17,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,11, Katese. ,3016,807,71,0,233.2999999988824,0.9886444286728177,0.333203125,55.671875,804.703125,95.671875,870.75,1,11,Odile Gakire Katese,0,11,27478,807,71,3016,871,69,3266,64.03,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,12, She ,3266,871,69,0,249.90000000037253,0.006751054852320675,0.358203125,55.671875,870.75,95.671875,907.78125,1,12,Odile Gakire Katese,0,12,27478,871,69,3266,633,88,3683,238.76,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,7, theater ,3683,633,88,1,200,0.8589710775531098,0.883203125,55.671875,573.5625,95.671875,634.609375,1,7,Odile Gakire Katese,0,7,27478,633,88,3683,640,91,3899,7.62,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,8, director ,3899,640,91,0,216.59999999962747,0.9747717443536761,0.883203125,55.671875,634.609375,95.671875,699.640625,1,8,Odile Gakire Katese,0,8,27478,640,91,3899,704,91,4100,64.00,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,9, Odile ,4100,704,91,0,200.10000000149012,0.9219269102990033,0.858203125,55.671875,699.640625,95.671875,746.671875,1,9,Odile Gakire Katese,0,9,27478,704,91,4100,365,60,5233,340.41,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
NQV9VUAZ,6980d6c084e07e1b37bca3fd,2,int,21,4,4,5,1, Inzozi ,5233,365,60,1,183.5,0.9926514750044162,0.283203125,55.671875,312.123046875,95.671875,367.40625,1,1,Odile Gakire Katese,0,1,27478,365,60,5233,909,70,5732,544.09,,,2026-07-02,2026-07-02,2026-07-02T18:46:20.492Z,15:46:20,2026-07-02 15:46:20,,,,,,,spotlight-prolific
