participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,1, “If ,1187,549,136,0,318.90000000596046,0.9837662337662337,0.682421875,108.703125,547.275,148.703125,570.375,1,1,He is opposed to it since more research is still needed,1,1,61784,549,136,1187,571,136,1485,22.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,2, our ,1485,571,136,0,298.29999999701977,0.9546827794561934,0.682421875,108.703125,570.375,148.703125,601.40625,1,2,He is opposed to it since more research is still needed,1,2,61784,571,136,1485,603,136,1802,32.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,3, study ,1802,603,136,0,316.90000000596046,0.9492517891997397,0.682421875,108.703125,601.40625,148.703125,649.4375,1,3,He is opposed to it since more research is still needed,1,3,61784,603,136,1802,672,136,3251,69.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,5," replicated, ",3251,672,136,0,1365.9000000059605,0.9829666430092264,0.832421875,108.703125,667.4375,148.703125,755.5,1,5,He is opposed to it since more research is still needed,1,5,61784,672,136,3251,776,142,4137,104.17,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,7, suggests ,4137,776,142,0,833.8999999910593,0.9797201379030622,0.807421875,108.703125,769.515625,148.703125,846.5625,1,7,He is opposed to it since more research is still needed,1,7,61784,776,142,4137,892,138,4805,116.07,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,9, oxytocin ,4805,892,138,0,533.7999999970198,0.9769078513305476,0.732421875,108.703125,881.59375,148.703125,952.640625,1,9,He is opposed to it since more research is still needed,1,9,61784,892,138,4805,953,138,5122,61.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,10, might ,5122,953,138,0,317,0.9455066921606119,0.732421875,108.703125,952.640625,148.703125,1001.671875,1,10,He is opposed to it since more research is still needed,1,10,61784,953,138,5122,1003,138,5439,50.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,11, treat ,5439,1003,138,0,316.90000000596046,0.9341203351104341,0.732421875,108.703125,1001.671875,148.703125,1042.703125,1,11,He is opposed to it since more research is still needed,1,11,61784,1003,138,5439,1043,138,5955,40.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,12, something ,5955,1043,138,0,517,0.9231724627395316,0.732421875,108.703125,1042.703125,148.703125,1130.765625,1,12,He is opposed to it since more research is still needed,1,12,61784,1043,138,5955,1131,138,6273,88.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,13, for ,6273,1131,138,0,317,0.9315315315315316,0.757421875,108.703125,1130.765625,148.703125,1156.78125,1,13,He is opposed to it since more research is still needed,1,13,61784,1131,138,6273,1160,138,6539,29.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,14, which ,6539,1160,138,0,267,0.14998052201012885,0.682421875,108.703125,1156.78125,148.703125,1204.9125,1,14,He is opposed to it since more research is still needed,1,14,61784,1160,138,6539,549,171,7524,611.89,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,15, we ,7524,549,171,1,250.09999999403954,0.7877970322714539,0.557421875,148.703125,547.275,188.703125,577.390625,2,1,He is opposed to it since more research is still needed,1,15,61784,549,171,7524,622,171,8108,73.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,17, have ,8108,622,171,0,467.20000000298023,0.8754877616175949,0.557421875,148.703125,621.4375,188.703125,665.484375,2,3,He is opposed to it since more research is still needed,1,17,61784,622,171,8108,668,171,8331,46.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,18, a ,8331,668,171,0,223.5,0.9667013527575442,0.557421875,148.703125,665.484375,188.703125,680.5,2,4,He is opposed to it since more research is still needed,1,18,61784,668,171,8331,681,171,8641,13.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,19, treatment ,8641,681,171,0,310.19999998807907,0.9932523616734144,0.557421875,148.703125,680.5,188.703125,761.546875,2,5,He is opposed to it since more research is still needed,1,19,61784,681,171,8641,762,171,8958,81.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,20, in ,8958,762,171,0,317,0.6023007395234182,0.557421875,148.703125,761.546875,188.703125,780.5625,2,6,He is opposed to it since more research is still needed,1,20,61784,762,171,8958,781,171,9283,19.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,21," autism, ",9283,781,171,0,324.6000000089407,0.9905800694100149,0.557421875,148.703125,780.5625,188.703125,843.59375,2,7,He is opposed to it since more research is still needed,1,21,61784,781,171,9283,845,171,9475,64.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,22, and ,9475,845,171,0,192.3999999910593,0.8675880517164511,0.557421875,148.703125,843.59375,188.703125,878.640625,2,8,He is opposed to it since more research is still needed,1,22,61784,845,171,9475,881,172,9675,36.01,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,23, that’s ,9675,881,172,0,200.20000000298023,0.971830985915493,0.682421875,148.703125,878.640625,188.703125,926.34375,2,9,He is opposed to it since more research is still needed,1,23,61784,881,172,9675,960,176,10093,79.10,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,25, core ,10093,960,176,0,266.8999999910593,0.9898516783762685,0.682421875,148.703125,956.375,188.703125,996.40625,2,11,He is opposed to it since more research is still needed,1,25,61784,960,176,10093,997,176,10509,37.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,26, social ,10509,997,176,0,417,0.971830985915493,0.682421875,148.703125,996.40625,188.703125,1047.4375,2,12,He is opposed to it since more research is still needed,1,26,61784,997,176,10509,1049,176,10993,52.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,27," motivation,” ",10993,1049,176,0,483.79999999701977,0.9542629482071713,0.682421875,148.703125,1047.4375,188.703125,1145.484375,2,13,He is opposed to it since more research is still needed,1,27,61784,1049,176,10993,1147,176,11410,98.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,28, Pelphrey ,11410,1147,176,0,417,0.048062545392404045,0.682421875,148.703125,1145.484375,188.703125,1218.63125,2,14,He is opposed to it since more research is still needed,1,28,61784,1147,176,11410,838,176,12095,309.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,21," autism, ",12095,838,176,1,367,0.8001983143282102,0.682421875,148.703125,780.5625,188.703125,843.59375,2,7,He is opposed to it since more research is still needed,1,21,61784,838,176,12095,886,176,12378,48.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,23, that’s ,12378,886,176,0,233.70000000298023,0.971830985915493,0.682421875,148.703125,878.640625,188.703125,926.34375,2,9,He is opposed to it since more research is still needed,1,23,61784,886,176,12378,927,176,12661,41.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,24, the ,12661,927,176,0,283.5,0.5213319458896982,0.482421875,148.703125,926.34375,188.703125,956.375,2,10,He is opposed to it since more research is still needed,1,24,61784,927,176,12661,839,133,12962,97.94,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,7, suggests ,12962,839,133,1,233.40000000596046,0.045224092476171165,0.457421875,108.703125,769.515625,148.703125,846.5625,1,7,He is opposed to it since more research is still needed,1,7,61784,839,133,12962,755,127,13345,84.21,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,5," replicated, ",13345,755,127,1,333.69999998807907,0.9488999290276792,0.482421875,108.703125,667.4375,148.703125,755.5,1,5,He is opposed to it since more research is still needed,1,5,61784,755,127,13345,771,128,13595,16.03,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,7, suggests ,13595,771,128,0,250.30000001192093,0.43459744473737577,0.582421875,108.703125,769.515625,148.703125,846.5625,1,7,He is opposed to it since more research is still needed,1,7,61784,771,128,13595,606,133,14646,165.08,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,3, study ,14646,606,133,1,166.79999999701977,0.9284320104098894,0.607421875,108.703125,601.40625,148.703125,649.4375,1,3,He is opposed to it since more research is still needed,1,3,61784,606,133,14646,670,133,15297,64.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,5," replicated, ",15297,670,133,0,583.8999999910593,0.9829666430092264,0.607421875,108.703125,667.4375,148.703125,755.5,1,5,He is opposed to it since more research is still needed,1,5,61784,670,133,15297,772,133,15731,102.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,7, suggests ,15731,772,133,0,350.20000000298023,0.9926992496451024,0.607421875,108.703125,769.515625,148.703125,846.5625,1,7,He is opposed to it since more research is still needed,1,7,61784,772,133,15731,848,133,16214,76.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,8, that ,16214,848,133,0,483.8999999910593,0.8974130240856378,0.607421875,108.703125,846.5625,148.703125,881.59375,1,8,He is opposed to it since more research is still needed,1,8,61784,848,133,16214,884,133,16565,36.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,9, oxytocin ,16565,884,133,0,350.20000000298023,0.9769078513305476,0.607421875,108.703125,881.59375,148.703125,952.640625,1,9,He is opposed to it since more research is still needed,1,9,61784,884,133,16565,953,133,16815,69.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,10, might ,16815,953,133,0,250.40000000596046,0.9659018483110261,0.607421875,108.703125,952.640625,148.703125,1001.671875,1,10,He is opposed to it since more research is still needed,1,10,61784,953,133,16815,1047,133,17582,94.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,12, something ,17582,1047,133,0,667,0.991305890702626,0.807421875,108.703125,1042.703125,148.703125,1130.765625,1,12,He is opposed to it since more research is still needed,1,12,61784,1047,133,17582,1158,141,18016,111.29,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,14, which ,18016,1158,141,0,300.29999999701977,0.06687443189196221,0.807421875,108.703125,1156.78125,148.703125,1204.9125,1,14,He is opposed to it since more research is still needed,1,14,61784,1158,141,18016,580,179,18983,579.25,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,16, don’t ,18983,580,179,1,216.8999999910593,0.9446612273855978,0.532421875,148.703125,577.390625,188.703125,621.4375,2,2,He is opposed to it since more research is still needed,1,16,61784,580,179,18983,623,170,19617,43.93,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,17, have ,19617,623,170,0,633.7999999970198,0.9890031926214969,0.232421875,148.703125,621.4375,188.703125,665.484375,2,3,He is opposed to it since more research is still needed,1,17,61784,623,170,19617,682,160,19834,59.84,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,19, treatment ,19834,682,160,0,183.59999999403954,0.8945440524387893,0.632421875,148.703125,680.5,188.703125,761.546875,2,5,He is opposed to it since more research is still needed,1,19,61784,682,160,19834,782,174,20618,100.98,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,21," autism, ",20618,782,174,0,750.5,0.9747149231531979,0.632421875,148.703125,780.5625,188.703125,843.59375,2,7,He is opposed to it since more research is still needed,1,21,61784,782,174,20618,880,174,21169,98.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,23, that’s ,21169,880,174,0,400.20000000298023,0.9927939731411726,0.632421875,148.703125,878.640625,188.703125,926.34375,2,9,He is opposed to it since more research is still needed,1,23,61784,880,174,21169,997,174,21669,117.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,26, social ,21669,997,174,0,383.70000000298023,0.9130434782608695,0.632421875,148.703125,996.40625,188.703125,1047.4375,2,12,He is opposed to it since more research is still needed,1,26,61784,997,174,21669,1050,174,22219,53.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,27," motivation,” ",22219,1050,174,0,550.5,0.9338645418326693,0.632421875,148.703125,1047.4375,188.703125,1145.484375,2,13,He is opposed to it since more research is still needed,1,27,61784,1050,174,22219,1148,174,22620,98.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,28, Pelphrey ,22620,1148,174,0,400.29999999701977,0.21211603366514317,0.632421875,148.703125,1145.484375,188.703125,1218.63125,2,14,He is opposed to it since more research is still needed,1,28,61784,1148,174,22620,559,228,23637,591.47,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,29, told ,23637,559,228,1,400.5,0.6012800553537453,0.557421875,188.703125,547.275,228.703125,583.40625,3,1,He is opposed to it since more research is still needed,1,29,61784,559,228,23637,623,211,24138,66.22,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,31, Guardian. ,24138,623,211,0,467.1000000089407,0.9821561338289962,0.557421875,188.703125,613.4375,228.703125,697.5,3,3,He is opposed to it since more research is still needed,1,31,61784,623,211,24138,699,211,24338,76.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
NZAF7Q8V,69ea39918927908e0d8fc2c4,3,adv,15,4,4,5,32, He ,24338,699,211,0,200.09999999403954,0.9459007250418293,0.557421875,188.703125,697.5,228.703125,725.515625,3,4,He is opposed to it since more research is still needed,1,32,61784,699,211,24338,728,211,24722,29.00,,,2026-07-06,2026-07-06,2026-07-06T21:58:41.878Z,18:58:41,2026-07-06 18:58:41,,,,,,,spotlight-prolific
