participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,1, Do ,741,622,132,0,191.5,0.9880952380952381,0.680859375,112.765625,621.875,152.765625,653.375,1,1,A parent of children who were born in November and October,0,1,28180,622,132,741,731,147,1259,110.03,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,4, your ,1259,731,147,0,259.3999999985099,0.990625,0.855859375,112.765625,730.375,152.765625,770.375,1,4,A parent of children who were born in November and October,0,4,28180,731,147,1259,771,147,1522,40.00,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,5, child ,1522,771,147,0,263,0.9910714285714286,0.780859375,112.765625,770.375,152.765625,812.375,1,5,A parent of children who were born in November and October,0,5,28180,771,147,1522,813,144,1892,42.11,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,6, to ,1892,813,144,0,369.5,0.03125,0.705859375,112.765625,812.375,152.765625,832.375,1,6,A parent of children who were born in November and October,0,6,28180,813,144,1892,770,143,2317,43.01,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,4, your ,2317,770,143,1,383.3999999985099,0.990625,0.705859375,112.765625,730.375,152.765625,770.375,1,4,A parent of children who were born in November and October,0,4,28180,770,143,2317,771,141,2517,2.24,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,5, child ,2517,771,141,0,200,0.9910714285714286,0.705859375,112.765625,770.375,152.765625,812.375,1,5,A parent of children who were born in November and October,0,5,28180,771,141,2517,833,141,3108,62.00,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,7, be ,3108,833,141,0,492.29999999701977,0.985,0.705859375,112.765625,832.375,152.765625,857.375,1,7,A parent of children who were born in November and October,0,7,28180,833,141,3108,858,141,3388,25.00,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,8, good ,3388,858,141,0,279.20000000298023,0.9916666666666667,0.630859375,112.765625,857.375,152.765625,902.375,1,8,A parent of children who were born in November and October,0,8,28180,858,141,3388,923,137,3913,65.12,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,10," sports, ",3913,923,137,0,387.6000000014901,0.9936440677966102,0.580859375,112.765625,922.375,152.765625,981.375,1,10,A parent of children who were born in November and October,0,10,28180,923,137,3913,982,136,4092,59.01,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
QBEMUZ9U,69e8e9a94b431d3e9ffd9b86,1,ele,3,1,5,6,11, play ,4092,982,136,0,179.10000000149012,0.9901315789473685,0.630859375,112.765625,981.375,152.765625,1019.375,1,11,A parent of children who were born in November and October,0,11,28180,982,136,4092,1020,138,4263,38.05,,,2026-07-06,2026-07-06,2026-07-06T21:52:19.643Z,18:52:19,2026-07-06 18:52:19,,,,,,,spotlight-prolific
