participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,32,1274539,362,110,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,84,1274591,360,93,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,131,1274638,360,93,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,182,1274689,360,93,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,233,1274739,360,93,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,285,1274792,365,104,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,332,1274839,379,112,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,385,1274891,393,114,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,435,1274942,401,114,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,485,1274992,411,114,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,535,1275042,418,114,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,-1,999,581,1275088,426,117,,,,,,,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,1," “Overall, ",636,1275142,441,121,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,1," “Overall, ",685,1275192,442,122,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,1," “Overall, ",735,1275242,443,122,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,1," “Overall, ",783,1275290,443,122,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,1," “Overall, ",834,1275341,444,122,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,1," “Overall, ",885,1275392,454,122,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,1," “Overall, ",935,1275441,479,122,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
RQRAFEVW,69ae28e0bab6d8149dc9fb6c,3,adv,2,5,14,15,1," “Overall, ",983,1275490,488,122,111.1624984741211,433.2124938964844,131.1624984741211,506.2249984741211,1,1,Technology that senses movement remotely,1,,,2026-07-02,2026-07-02,2026-07-02T17:26:47.354Z,13:26:47,2026-07-02 13:26:47,,,,,,,spotlight-prolific
