participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,-1,999,16,2109059,369,104,,,,,,,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,-1,999,62,2109104,344,99,,,,,,,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,-1,999,126,2109169,343,99,,,,,,,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,-1,999,166,2109209,343,99,,,,,,,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,-1,999,214,2109256,369,109,,,,,,,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,-1,999,267,2109309,420,125,,,,,,,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,-1,999,314,2109356,430,125,,,,,,,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,-1,999,377,2109420,430,125,,,,,,,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,-1,999,415,2109457,430,125,,,,,,,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,1," But, ",471,2109513,431,125,111.1624984741211,433.2124938964844,131.1624984741211,470.2374954223633,1,1,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,1," But, ",519,2109561,431,125,111.1624984741211,433.2124938964844,131.1624984741211,470.2374954223633,1,1,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,1," But, ",566,2109608,434,125,111.1624984741211,433.2124938964844,131.1624984741211,470.2374954223633,1,1,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,1," But, ",613,2109655,440,124,111.1624984741211,433.2124938964844,131.1624984741211,470.2374954223633,1,1,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,1," But, ",667,2109709,448,124,111.1624984741211,433.2124938964844,131.1624984741211,470.2374954223633,1,1,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,1," But, ",722,2109765,448,124,111.1624984741211,433.2124938964844,131.1624984741211,470.2374954223633,1,1,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,1," But, ",769,2109811,452,124,111.1624984741211,433.2124938964844,131.1624984741211,470.2374954223633,1,1,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,1," But, ",814,2109856,457,124,111.1624984741211,433.2124938964844,131.1624984741211,470.2374954223633,1,1,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,1," But, ",863,2109905,463,124,111.1624984741211,433.2124938964844,131.1624984741211,470.2374954223633,1,1,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,2, because ,920,2109963,477,124,111.1624984741211,470.2375183105469,131.1624984741211,543.3000183105469,1,2,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,2, because ,966,2110008,488,124,111.1624984741211,470.2375183105469,131.1624984741211,543.3000183105469,1,2,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,2, because ,1013,2110055,496,124,111.1624984741211,470.2375183105469,131.1624984741211,543.3000183105469,1,2,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,2, because ,1065,2110107,502,124,111.1624984741211,470.2375183105469,131.1624984741211,543.3000183105469,1,2,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,2, because ,1112,2110154,508,125,111.1624984741211,470.2375183105469,131.1624984741211,543.3000183105469,1,2,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,2, because ,1173,2110215,515,125,111.1624984741211,470.2375183105469,131.1624984741211,543.3000183105469,1,2,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
TFAS699R,69e8f917474efa0773d52248,3,adv,24,2,17,18,2, because ,1213,2110255,520,125,111.1624984741211,470.2375183105469,131.1624984741211,543.3000183105469,1,2,To a bigger neighboring island,1,,,2026-07-08,2026-07-08,2026-07-08T17:18:57.049Z,14:18:57,2026-07-08 14:18:57,,,,,,,spotlight-prolific
