participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,44,940219,563,105,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,98,940273,559,104,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,144,940319,552,104,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,198,940373,551,104,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,245,940420,551,104,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,307,940482,551,104,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,354,940529,551,104,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,397,940572,579,106,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,1, Researchers ,446,940621,668,118,123.03125,621.375,143.03125,728.421875,1,1,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,2, believe ,500,940675,742,145,123.03125,728.421875,143.03125,790.46875,1,2,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,16, hike ,548,940722,774,163,163.03125,741.484375,183.03125,779.515625,2,5,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,16, hike ,596,940771,778,175,163.03125,741.484375,183.03125,779.515625,2,5,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,16, hike ,651,940826,778,175,163.03125,741.484375,183.03125,779.515625,2,5,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,16, hike ,696,940871,778,175,163.03125,741.484375,183.03125,779.515625,2,5,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,16, hike ,758,940933,778,175,163.03125,741.484375,183.03125,779.515625,2,5,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,16, hike ,797,940972,771,169,163.03125,741.484375,183.03125,779.515625,2,5,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,1, Researchers ,845,941020,686,138,123.03125,621.375,143.03125,728.421875,1,1,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,898,941073,604,117,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
TG5SUHAP,6153cd6d2d8ea888dc6248a3,2,int,1,4,4,5,-1,999,946,941121,596,114,,,,,,,In the hands of whomever found it,0,,,2026-07-02,2026-07-02,2026-07-02T21:45:16.068Z,15:45:16,2026-07-02 15:45:16,,,,,,,spotlight-prolific
