participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,1, Google ,535,623,126,0,300.19999999925494,0.9766690218126607,0.52421875,113.03125,617.5537109375,153.03125,682.515625,1,1,Used materials that are safer for pedestrians,1,1,27377,623,126,535,827,140,968,204.48,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,6, of ,968,827,140,0,233.19999999925494,0.8937784522003035,0.79921875,113.03125,820.59375,153.03125,841.1875,1,6,Used materials that are safer for pedestrians,1,6,27377,827,140,968,877,150,1218,50.99,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,8, project ,1218,877,150,0,217,0.9038561750911933,0.89921875,113.03125,871.796875,153.03125,931.765625,1,8,Used materials that are safer for pedestrians,1,8,27377,877,150,1218,973,149,1519,96.01,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,11, improve ,1519,973,149,0,200.19999999925494,0.865191605839416,0.87421875,113.03125,969.734375,153.03125,1038.234375,1,11,Used materials that are safer for pedestrians,1,11,27377,973,149,1519,1078,130,2470,106.71,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,12, safety ,2470,1078,130,0,316.9000000022352,0.9169166166766647,0.42421875,113.03125,1038.234375,153.03125,1090.328125,1,12,Used materials that are safer for pedestrians,1,12,27377,1078,130,2470,1171,130,2954,93.00,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,15, because ,2954,1171,130,0,400.5,0.97557113775164,0.42421875,113.03125,1164.609375,153.03125,1233.6875,1,15,Used materials that are safer for pedestrians,1,15,27377,1171,130,2954,1238,130,3121,67.00,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,16, the ,3121,1238,130,0,166.69999999925494,0.14088820826952528,0.44921875,113.03125,1233.6875,153.03125,1264.296875,1,16,Used materials that are safer for pedestrians,1,16,27377,1238,130,3121,1164,135,3337,74.17,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,14," that, ",3337,1164,135,1,166.90000000223517,0.04888375673595073,0.54921875,113.03125,1124.015625,153.03125,1164.609375,1,14,Used materials that are safer for pedestrians,1,14,27377,1164,135,3337,1123,135,3604,41.00,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,13, and ,3604,1123,135,1,267.0999999977648,0.7620593692022264,0.47421875,113.03125,1090.328125,153.03125,1124.015625,1,13,Used materials that are safer for pedestrians,1,13,27377,1123,135,3604,1181,132,3838,58.08,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
UR2BZZWG,6a0b70e9e4e56df663d2f509,2,int,9,3,12,13,15, because ,3838,1181,132,0,183.39999999850988,0.97557113775164,0.47421875,113.03125,1164.609375,153.03125,1233.6875,1,15,Used materials that are safer for pedestrians,1,15,27377,1181,132,3838,1239,132,4088,58.00,,,2026-07-02,2026-07-02,2026-07-02T18:46:11.099Z,12:46:11,2026-07-02 12:46:11,,,,,,,spotlight-prolific
