participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,96,2591179,264,55,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,148,2591230,264,55,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,196,2591278,264,55,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,246,2591328,264,56,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,294,2591376,264,56,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,340,2591423,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,389,2591471,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,437,2591520,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,501,2591584,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,549,2591632,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,597,2591679,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,645,2591728,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,693,2591776,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,742,2591825,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,790,2591873,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,839,2591921,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,887,2591969,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,950,2592033,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,-1,999,986,2592068,264,57,,,,,,,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1045,2592127,335,69,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1086,2592169,354,75,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1145,2592228,359,78,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1194,2592277,361,81,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1245,2592328,362,82,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1295,2592377,361,82,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1350,2592433,352,81,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1387,2592470,343,78,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1445,2592527,337,76,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1493,2592576,334,75,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1536,2592619,336,75,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1586,2592669,368,73,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1645,2592728,402,70,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1690,2592772,407,70,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,1, Professor ,1746,2592829,411,70,65.953125,336.875,85.953125,418.90625,1,1,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,1786,2592869,422,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,1847,2592929,436,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,1888,2592971,443,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,1948,2593030,446,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,1990,2593072,446,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,2039,2593122,446,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,2088,2593170,446,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,2152,2593235,446,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,2202,2593284,446,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
VG6KBGA2,698a3dd78e6d3818482ab7ec,1,ele,30,2,17,18,2, Sanjiv ,2250,2593333,446,70,65.953125,418.90625,85.953125,472.9375,1,2,It will deliver to an incorrect location,0,,,2026-07-02,2026-07-02,2026-07-02T20:53:09.986Z,16:53:09,2026-07-02 16:53:09,,,,,,,spotlight-prolific
