participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,47,1060650,452,119,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,93,1060697,448,114,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,152,1060756,443,109,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,200,1060804,443,109,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,248,1060852,451,104,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,294,1060898,467,105,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,353,1060957,485,118,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,402,1061006,512,134,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,448,1061052,517,136,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,496,1061100,520,137,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,542,1061146,526,137,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,-1,999,602,1061205,532,135,,,,,,,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,1, Google ,653,1061257,539,132,118.84942626953125,538.0255737304688,137.0312442779541,599.1619338989258,1,1,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,1, Google ,698,1061302,540,131,118.84942626953125,538.0255737304688,137.0312442779541,599.1619338989258,1,1,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,1, Google ,745,1061348,573,131,118.84942626953125,538.0255737304688,137.0312442779541,599.1619338989258,1,1,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,2, says ,803,1061407,623,131,118.84942626953125,599.1619262695312,137.0312442779541,637.4289703369141,1,2,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,2, says ,853,1061456,623,131,118.84942626953125,599.1619262695312,137.0312442779541,637.4289703369141,1,2,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,2, says ,900,1061504,623,131,118.84942626953125,599.1619262695312,137.0312442779541,637.4289703369141,1,2,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,2, says ,947,1061550,623,131,118.84942626953125,599.1619262695312,137.0312442779541,637.4289703369141,1,2,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,2, says ,995,1061598,623,131,118.84942626953125,599.1619262695312,137.0312442779541,637.4289703369141,1,2,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,2, says ,1043,1061647,623,131,118.84942626953125,599.1619262695312,137.0312442779541,637.4289703369141,1,2,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,2, says ,1098,1061701,625,132,118.84942626953125,599.1619262695312,137.0312442779541,637.4289703369141,1,2,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,3, that ,1150,1061754,642,135,118.84942626953125,637.428955078125,137.0312442779541,673.9346351623535,1,3,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,3, that ,1197,1061800,664,135,118.84942626953125,637.428955078125,137.0312442779541,673.9346351623535,1,3,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,4, the ,1244,1061847,676,135,118.84942626953125,673.9346313476562,137.0312442779541,704.5454254150391,1,4,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,4, the ,1294,1061898,677,135,118.84942626953125,673.9346313476562,137.0312442779541,704.5454254150391,1,4,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,4, the ,1353,1061957,685,135,118.84942626953125,673.9346313476562,137.0312442779541,704.5454254150391,1,4,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,4, the ,1398,1062001,690,135,118.84942626953125,673.9346313476562,137.0312442779541,704.5454254150391,1,4,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,4, the ,1444,1062047,701,135,118.84942626953125,673.9346313476562,137.0312442779541,704.5454254150391,1,4,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,5, aim ,1501,1062105,724,135,118.84942626953125,704.54541015625,137.0312442779541,737.2300682067871,1,5,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,6, of ,1552,1062155,740,135,118.84942626953125,737.2301025390625,137.0312442779541,757.8266925811768,1,6,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,6, of ,1597,1062200,747,134,118.84942626953125,737.2301025390625,137.0312442779541,757.8266925811768,1,6,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,7, the ,1643,1062247,758,134,118.84942626953125,757.82666015625,137.0312442779541,788.4374542236328,1,7,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
VGDQQXKH,6a46f910b7e94d28fe209d86,1,ele,9,3,3,4,7, the ,1702,1062305,773,133,118.84942626953125,757.82666015625,137.0312442779541,788.4374542236328,1,7,Test-pilot the cars,1,,,2026-07-07,2026-07-07,2026-07-07T21:10:14.804Z,18:10:14,2026-07-07 18:10:14,,,,,,,spotlight-prolific
