participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,-1,999,58,2447195,310,109,,,,,,,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,-1,999,117,2447254,310,109,,,,,,,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,-1,999,161,2447298,310,109,,,,,,,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,-1,999,212,2447349,310,109,,,,,,,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,-1,999,269,2447406,325,96,,,,,,,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,-1,999,310,2447447,367,110,,,,,,,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,14, UK ,359,2447496,468,153,149.26190185546875,451.0357360839844,169.07142639160156,481.0357360839844,2,3,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,28, Bolivia’s ,416,2447554,535,197,189.26190185546875,494.0476379394531,209.07142639160156,564.7381134033203,3,2,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,28, Bolivia’s ,459,2447596,537,197,189.26190185546875,494.0476379394531,209.07142639160156,564.7381134033203,3,2,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
VXV8GSHP,69920355da036116b15f35ce,2,int,5,5,14,15,28, Bolivia’s ,520,2447657,537,197,189.26190185546875,494.0476379394531,209.07142639160156,564.7381134033203,3,2,Respecting and encouraging cultural rights,1,,,2026-07-02,2026-07-02,2026-07-02T20:53:16.554Z,15:53:16,2026-07-02 15:53:16,,,,,,,spotlight-prolific
