participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
WYCS4DJB,EmTest4,1,ele,20,1,6,7,1, Illegal ,1001,426,138,0,167,0.9915059927656397,0.49833335876464846,100.06666564941406,405.52502102322046,140.06666564941406,460.4666748046875,1,1,The “Index on Censorship”,0,1,5032,426,138,1001,529,134,1385,103.08,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
WYCS4DJB,EmTest4,1,ele,20,1,6,7,2, downloading ,1385,529,134,0,284,0.8812814106023338,0.5233333587646485,100.06666564941406,460.4666748046875,140.06666564941406,566.5999984741211,1,2,The “Index on Censorship”,0,2,5032,529,134,1385,924,107,1834,395.92,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
WYCS4DJB,EmTest4,1,ele,20,1,6,7,13, how ,1834,924,107,0,200,0.1091152981192164,0.42333335876464845,100.06666564941406,921.849983215332,140.06666564941406,959.88330078125,1,13,The “Index on Censorship”,0,13,5032,924,107,1834,445,174,2218,483.66,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
WYCS4DJB,EmTest4,1,ele,20,1,6,7,16, hand ,2218,445,174,1,251,0.8339494127029782,0.8483333587646484,140.06666564941406,408.41668701171875,180.06666564941406,453.4833450317383,2,1,The “Index on Censorship”,0,16,5032,445,174,2218,466,184,3085,23.26,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
WYCS4DJB,EmTest4,1,ele,20,1,6,7,29, Pullman. ,3085,466,184,0,250,0.007772326224627303,0.29833335876464845,180.06666564941406,408.41668701171875,220.06666564941406,483.4666748046875,3,1,The “Index on Censorship”,0,29,5032,466,184,3085,900,217,3701,435.25,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
WYCS4DJB,EmTest4,1,ele,20,1,6,7,39," Pullman, ",3701,900,217,0,217,0.01532323928728344,0.6233333587646485,180.06666564941406,895.8499908447266,220.06666564941406,970.8999938964844,3,11,The “Index on Censorship”,0,39,5032,900,217,3701,474,258,4454,427.97,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
WYCS4DJB,EmTest4,1,ele,20,1,6,7,42, president ,4454,474,258,1,385,0.6143307161209727,0.39833343474072164,220.06666564941406,408.41668701171875,260.06665802001953,487.50000762939453,4,1,The “Index on Censorship”,0,42,5032,474,258,4454,995,232,4868,521.65,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
WYCS4DJB,EmTest4,1,ele,20,1,6,7,53, criticizes ,4868,995,232,0,199,0.2769864034946145,0.8983335301081715,220.06666564941406,982.8833312988281,260.06665802001953,1051.8999633789062,4,12,The “Index on Censorship”,0,53,5032,995,232,4868,522,274,5401,474.86,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
WYCS4DJB,EmTest4,1,ele,20,1,6,7,55, users ,5401,522,274,1,267,0.948674437656131,0.24833359686538636,260.06665802001953,474.4833450317383,300.066650390625,523.5166625976562,5,2,The “Index on Censorship”,0,55,5032,522,274,5401,909,288,6033,387.25,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
WYCS4DJB,EmTest4,1,ele,20,1,6,7,66, without ,6033,909,288,0,365,0.8254098879689759,0.8483337113063262,260.06665802001953,895.783332824707,300.066650390625,957.8333129882812,5,13,The “Index on Censorship”,0,66,5032,909,288,6033,,,,,,,,,1970-01-01T00:00:00.443Z,,,,,,,,,spotlight-prolific
