participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,-1,999,413,1707178,459,93,,,,,,,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,-1,999,464,1707229,461,97,,,,,,,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,-1,999,514,1707279,461,97,,,,,,,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,-1,999,563,1707329,461,97,,,,,,,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,-1,999,614,1707379,461,97,,,,,,,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,-1,999,663,1707428,461,97,,,,,,,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,-1,999,713,1707478,471,101,,,,,,,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,-1,999,763,1707528,485,106,,,,,,,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,-1,999,813,1707578,495,109,,,,,,,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,1, From ,864,1707629,502,111,115.5703125,505.375,136.0703125,552.375,1,1,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,1, From ,913,1707678,509,112,115.5703125,505.375,136.0703125,552.375,1,1,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,1, From ,964,1707729,521,113,115.5703125,505.375,136.0703125,552.375,1,1,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,1, From ,1013,1707778,535,113,115.5703125,505.375,136.0703125,552.375,1,1,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,1, From ,1063,1707828,546,113,115.5703125,505.375,136.0703125,552.375,1,1,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,2, 2006 ,1113,1707878,556,113,115.5703125,552.375,136.0703125,597.421875,1,2,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,2, 2006 ,1163,1707928,564,114,115.5703125,552.375,136.0703125,597.421875,1,2,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,2, 2006 ,1213,1707978,576,117,115.5703125,552.375,136.0703125,597.421875,1,2,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,2, 2006 ,1264,1708029,591,120,115.5703125,552.375,136.0703125,597.421875,1,2,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,3, to ,1314,1708079,602,122,115.5703125,597.421875,136.0703125,617.4375,1,3,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,3, to ,1363,1708128,617,125,115.5703125,597.421875,136.0703125,617.4375,1,3,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,4," 2008, ",1413,1708179,630,128,115.5703125,617.4375,136.0703125,667.484375,1,4,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
Z2T4R7KR,6111624c12d30533fdfeb26d,3,adv,22,2,15,16,4," 2008, ",1464,1708229,631,128,115.5703125,617.4375,136.0703125,667.484375,1,4,The country has been gradually recovering from an economic crisis,0,,,2026-07-02,2026-07-02,2026-07-02T19:49:11.915Z,13:49:11,2026-07-02 13:49:11,,,,,,,spotlight-prolific
