participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,40,629120,385,117,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,90,629171,385,115,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,143,629224,385,115,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,191,629271,385,115,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,254,629335,385,115,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,301,629382,385,115,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,342,629422,385,116,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,395,629475,391,120,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,443,629523,402,134,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,14, offers ,490,629570,436,164,151.16250610351562,433.2124938964844,171.16250610351562,482.9124946594238,2,1,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,36, al-Mamun. ,551,629631,488,206,191.16250610351562,433.2124938964844,251.16250610351562,1086.5500183105469,3,2,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,52, to ,601,629681,545,263,271.1625061035156,541.9500122070312,291.1625061035156,561.9750118255615,5,4,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,70, school ,640,629720,580,323,311.1625061035156,569.2999877929688,331.1625061035156,626.3374900817871,6,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,114, now ,690,629770,636,431,431.1625061035156,615.6375122070312,451.1625061035156,653.6625137329102,9,4,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,745,629826,671,505,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,792,629872,689,548,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,840,629920,689,548,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,890,629970,689,548,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,941,630021,689,548,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,998,630078,689,548,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,-1,999,1046,630126,689,548,,,,,,,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,129, sons ,1091,630171,719,486,471.1625061035156,686.3624877929688,491.1625061035156,729.3874893188477,10,6,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,82, Sumayya ,1142,630222,619,352,351.1625061035156,541.2875366210938,371.1625061035156,621.3250350952148,7,3,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,53, make ,1201,630281,587,298,271.1625061035156,561.9750366210938,291.1625061035156,611.0000381469727,5,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,53, make ,1240,630321,586,271,271.1625061035156,561.9750366210938,291.1625061035156,611.0000381469727,5,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,29, very ,1290,630370,591,235,191.16250610351562,582.3125,211.16250610351562,621.3250007629395,3,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,29, very ,1347,630428,595,227,191.16250610351562,582.3125,211.16250610351562,621.3250007629395,3,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,29, very ,1395,630475,600,223,191.16250610351562,582.3125,211.16250610351562,621.3250007629395,3,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,29, very ,1442,630523,607,219,191.16250610351562,582.3125,211.16250610351562,621.3250007629395,3,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,29, very ,1502,630582,620,214,191.16250610351562,582.3125,211.16250610351562,621.3250007629395,3,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,29, very ,1541,630621,621,214,191.16250610351562,582.3125,211.16250610351562,621.3250007629395,3,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,29, very ,1601,630681,621,214,191.16250610351562,582.3125,211.16250610351562,621.3250007629395,3,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,29, very ,1646,630726,621,214,191.16250610351562,582.3125,211.16250610351562,621.3250007629395,3,5,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,30," difficult,” ",1694,630774,625,214,191.16250610351562,621.3250122070312,211.16250610351562,693.025016784668,3,6,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,30," difficult,” ",1740,630821,662,214,191.16250610351562,621.3250122070312,211.16250610351562,693.025016784668,3,6,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,30," difficult,” ",1802,630882,688,212,191.16250610351562,621.3250122070312,211.16250610351562,693.025016784668,3,6,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
ZBJTLAWJ,69e90188c119793c7c1cdbd4,2,int,4,3,3,4,31, says ,1853,630933,699,211,191.16250610351562,693.0250244140625,211.16250610351562,735.037525177002,3,7,They try their best to not drop out of school before finishing,0,,,2026-07-08,2026-07-08,2026-07-08T17:18:25.166Z,14:18:25,2026-07-08 14:18:25,,,,,,,spotlight-prolific
