participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,2, documentary ,1321,661,131,0,446.90000009536743,0.9498567335243553,0.62421875,113.03125,657.40625,153.03125,766.46875,1,2,Because he may have caused unnecessary damage to a pan,1,2,24221,661,131,1321,823,146,1750,162.69,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,4, Carle ,1750,823,146,0,375,0.8643019850309144,0.77421875,113.03125,822.5,153.03125,870.515625,1,4,Because he may have caused unnecessary damage to a pan,1,4,24221,823,146,1750,887,138,2193,64.50,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,6, realizing ,2193,887,138,0,422.7000000476837,0.9919757102580785,0.49921875,113.03125,885.53125,153.03125,957.578125,1,6,Because he may have caused unnecessary damage to a pan,1,6,24221,887,138,2193,1004,128,2753,117.43,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,9, addicted ,2753,1004,128,0,503.7999999523163,0.9771171941830624,0.29921875,113.03125,1000.609375,153.03125,1073.671875,1,9,Because he may have caused unnecessary damage to a pan,1,9,24221,1004,128,2753,1097,129,3002,93.01,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,11, his ,3002,1097,129,0,227.89999985694885,0.9392080312325711,0.47421875,113.03125,1093.6875,153.03125,1121.703125,1,11,Because he may have caused unnecessary damage to a pan,1,11,24221,1097,129,3002,1198,132,3308,101.04,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,14, breaking ,3308,1198,132,0,228.80000019073486,0.840084388185654,0.47421875,113.03125,1197.78125,153.03125,1271.84375,1,14,Because he may have caused unnecessary damage to a pan,1,14,24221,1198,132,3308,713,173,4645,486.73,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,19, French-made ,4645,713,173,1,489.10000014305115,0.9806993006993007,0.47421875,153.03125,711.4375,193.03125,823.15625,2,4,Because he may have caused unnecessary damage to a pan,1,19,24221,713,173,4645,868,171,5170,155.01,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,21," saucepan, ",5170,868,171,0,415.40000009536743,0.9856306546035125,0.39921875,153.03125,866.1875,193.03125,954.265625,2,6,Because he may have caused unnecessary damage to a pan,1,21,24221,868,171,5170,1001,168,5572,133.03,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,23, his ,5572,1001,168,0,352.7999999523163,0.9888455103179029,0.37421875,153.03125,1000.296875,193.03125,1028.3125,2,8,Because he may have caused unnecessary damage to a pan,1,23,24221,1001,168,5572,1038,167,5738,37.01,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,24, girlfriend ,5738,1038,167,0,166.20000004768372,0.9953566905867455,0.32421875,153.03125,1028.3125,193.03125,1102.34375,2,9,Because he may have caused unnecessary damage to a pan,1,24,24221,1038,167,5738,1208,163,6113,170.05,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,27, you ,6113,1208,163,0,180.40000009536743,0.36490850376749195,0.24921875,153.03125,1204.40625,193.03125,1233.4375,2,12,Because he may have caused unnecessary damage to a pan,1,27,24221,1208,163,6113,766,218,7136,445.41,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
ZED9PF9C,6993957ffe43ec54a046b703,2,int,16,5,11,12,31, new ,7136,766,218,1,410.2999999523163,0.8903040262941659,0.59921875,193.03125,765.140625,233.03125,803.171875,3,4,Because he may have caused unnecessary damage to a pan,1,31,24221,766,218,7136,907,212,7690,141.13,,,,,1970-01-01T00:00:00.018Z,,,,,,,,,spotlight-prolific
