participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,sampleTimeMs,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,266,1170022,392,88,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,313,1170069,392,89,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,368,1170123,409,109,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,418,1170173,419,119,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,466,1170221,419,120,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,506,1170261,419,120,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,567,1170323,421,119,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,1, About ,618,1170374,423,116,110.70000457763672,425.6125183105469,130.70000457763672,477.6625175476074,1,1,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,1, About ,665,1170421,423,113,110.70000457763672,425.6125183105469,130.70000457763672,477.6625175476074,1,1,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,718,1170473,432,87,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,766,1170522,432,87,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,814,1170569,432,87,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,862,1170617,432,87,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,910,1170666,432,87,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,958,1170713,432,87,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,1006,1170762,432,87,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,-1,999,1062,1170817,432,87,,,,,,,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,1, About ,1117,1170872,449,104,110.70000457763672,425.6125183105469,130.70000457763672,477.6625175476074,1,1,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,1, About ,1161,1170917,455,111,110.70000457763672,425.6125183105469,130.70000457763672,477.6625175476074,1,1,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,1, About ,1211,1170966,457,113,110.70000457763672,425.6125183105469,130.70000457763672,477.6625175476074,1,1,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,2, 22% ,1268,1171024,478,126,110.70000457763672,477.6625061035156,130.70000457763672,518.700008392334,1,2,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,2, 22% ,1318,1171074,499,132,110.70000457763672,477.6625061035156,130.70000457763672,518.700008392334,1,2,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,3, of ,1369,1171124,523,135,110.70000457763672,518.7000122070312,130.70000457763672,538.7250118255615,1,3,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1419,1171174,545,136,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1467,1171222,549,136,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1518,1171274,551,136,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1566,1171322,553,137,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1617,1171372,553,137,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1665,1171420,553,137,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1712,1171467,553,137,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1760,1171515,553,137,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1818,1171574,568,133,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1866,1171621,582,129,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,4, Japanese ,1918,1171674,618,120,110.70000457763672,538.7250366210938,130.70000457763672,621.8000411987305,1,4,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,5, work ,1968,1171723,628,119,110.70000457763672,621.7999877929688,130.70000457763672,664.8124885559082,1,5,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,5, work ,2007,1171763,632,119,110.70000457763672,621.7999877929688,130.70000457763672,664.8124885559082,1,5,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,5, work ,2057,1171812,652,124,110.70000457763672,621.7999877929688,130.70000457763672,664.8124885559082,1,5,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
ZKT4WSAG,697a66f86ebfc5a812471650,3,adv,13,4,9,10,6, more ,2117,1171872,667,126,110.70000457763672,664.8125,130.70000457763672,710.8250007629395,1,6,About 22% of Japanese employees work over 49 hours a week,0,,,2026-07-02,2026-07-02,2026-07-02T21:54:38.711Z,15:54:38,2026-07-02 15:54:38,,,,,,,spotlight-prolific
