participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,15, according ,651,693,186,0,166.29999999981374,0.10327313769751693,0.743359375,153.265625,690.421875,193.265625,773.484375,2,3,To collect information on the service quality of competing retailers,0,15,49366,693,186,651,688,175,918,12.08,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,14," UK, ",918,688,175,1,266.80000000074506,0.2739848282016957,0.143359375,153.265625,655.40625,193.265625,690.421875,2,2,To collect information on the service quality of competing retailers,0,14,49366,688,175,918,622,128,1651,81.02,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,1, There ,1651,622,128,1,366.40000000037253,0.8850850850850851,0.343359375,113.265625,621.6584821428571,153.265625,677.40625,1,1,To collect information on the service quality of competing retailers,0,1,49366,622,128,1651,714,118,2635,92.54,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,3, approximately ,2635,714,118,0,916.7000000001863,0.4660971703150027,0.118359375,113.265625,708.4375,153.265625,825.5,1,3,To collect information on the service quality of competing retailers,0,3,49366,714,118,2635,909,162,3301,199.90,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,19, Shopping ,3301,909,162,0,483.29999999981374,0.3632684524956639,0.018359375,153.265625,891.546875,193.265625,972.625,2,7,To collect information on the service quality of competing retailers,0,19,49366,909,162,3301,921,152,3735,15.62,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,5, mystery ,3735,921,152,0,433.70000000018626,0.006432345508844475,0.593359375,113.265625,885.5625,153.265625,953.578125,1,5,To collect information on the service quality of competing retailers,0,5,49366,921,152,3735,954,133,4318,38.08,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,6, shopping ,4318,954,133,0,316.90000000037253,0.978787272363418,0.518359375,113.265625,953.578125,153.265625,1031.65625,1,6,To collect information on the service quality of competing retailers,0,6,49366,954,133,4318,1035,133,4585,81.00,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,7, trips ,4585,1035,133,0,267,0.8802563075690829,0.293359375,113.265625,1031.65625,153.265625,1070.671875,1,7,To collect information on the service quality of competing retailers,0,7,49366,1035,133,4585,1071,124,4868,37.11,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,8, carried ,4868,1071,124,0,282.90000000037253,0.8716814159292036,0.118359375,113.265625,1070.671875,153.265625,1130.703125,1,8,To collect information on the service quality of competing retailers,0,8,49366,1071,124,4868,1162,128,5251,91.09,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,10, every ,5251,1162,128,0,333.1000000005588,0.14818355640535372,0.543359375,113.265625,1160.734375,153.265625,1209.765625,1,10,To collect information on the service quality of competing retailers,0,10,49366,1162,128,5251,1126,144,5635,39.40,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,8, carried ,5635,1126,144,1,334.40000000037253,0.8217074440395628,0.693359375,113.265625,1070.671875,153.265625,1130.703125,1,8,To collect information on the service quality of competing retailers,0,8,49366,1126,144,5635,1162,127,6318,39.81,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,10, every ,6318,1162,127,0,632.7000000001863,0.4541108986615679,0.568359375,113.265625,1160.734375,153.265625,1209.765625,1,10,To collect information on the service quality of competing retailers,0,10,49366,1162,127,6318,625,180,7568,539.61,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
ZTF9EKZ3,698b8f9e26c1d1abf815c84c,2,int,25,1,10,11,13, the ,7568,625,180,1,283.20000000018626,0.6620146835108145,0.468359375,153.265625,621.6584821428571,193.265625,655.40625,2,1,To collect information on the service quality of competing retailers,0,13,49366,625,180,7568,705,156,8001,83.52,,,2026-07-02,2026-07-02,2026-07-02T18:49:43.034Z,13:49:43,2026-07-02 13:49:43,,,,,,,spotlight-prolific
