participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
SCVYFQMV,33916,3,adv,14,4,43,44,2," 2014, ",3452,372,106,0,283.30000019073486,0.31189509834530127,0.284375,92.625,366.390625,132.625,416.4375,1,2,Soldiers eating chocolate,1,2,17467,372,106,3452,644,108,4152,272.01,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,8, spent ,4152,644,108,0,283.40000009536743,0.8448303329616058,0.384375,92.625,639.5703125,132.625,688.609375,1,8,Soldiers eating chocolate,1,8,17467,644,108,4152,1012,117,5069,368.11,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,16, animated ,5069,1012,117,0,233.5,0.3671273341069733,0.584375,92.625,1007.8125,132.625,1081.8671875,1,16,Soldiers eating chocolate,1,16,17467,1012,117,5069,408,148,5686,604.80,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,17, penguin ,5686,408,148,1,383.40000009536743,0.8198167628096369,0.509375,132.625,346.375,172.625,415.4453125,2,1,Soldiers eating chocolate,1,17,17467,408,148,5686,708,150,6436,300.01,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,25, the ,6436,708,150,0,250,0.7764767109029405,0.434375,132.625,706.6875,172.625,736.7109375,2,9,Soldiers eating chocolate,1,25,17467,708,150,6436,925,150,6969,217.00,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,30, Real ,6969,925,150,0,300,0.986242796058747,0.434375,132.625,918.5546875,172.625,960.578125,2,14,Soldiers eating chocolate,1,30,17467,925,150,6969,436,188,7719,490.47,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,35, singer-songwriter ,7719,436,188,1,183.39999961853027,0.018260346618555575,0.559375,172.625,401.390625,212.625,544.2890625,3,2,Soldiers eating chocolate,1,35,17467,436,188,7719,404,184,8269,32.25,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,35, singer-songwriter ,8269,404,184,1,166.59999990463257,0.8930074900224154,0.284375,172.625,401.390625,212.625,544.2890625,3,2,Soldiers eating chocolate,1,35,17467,404,184,8269,953,196,9453,549.13,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,46, YouTube ,9453,953,196,0,316.90000009536743,0.7251679586563308,0.509375,172.625,947.1875,212.625,1022.7734375,3,13,Soldiers eating chocolate,1,46,17467,953,196,9453,851,225,11052,106.04,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,60, Sainsbury’s ,11052,851,225,1,333.40000009536743,0.9174994004316892,0.459375,212.625,811.3359375,252.625,909.0625,4,12,Soldiers eating chocolate,1,60,17467,851,225,11052,400,273,12069,453.55,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,65, War ,12069,400,273,1,250,0.7480644486294203,0.609375,252.625,398.0703125,292.625,435.40625,5,2,Soldiers eating chocolate,1,65,17467,400,273,12069,567,279,12385,167.11,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,68, a ,12385,567,279,0,199.80000019073486,0.9672216441207075,0.634375,252.625,566.4765625,292.625,581.4921875,5,5,Soldiers eating chocolate,1,68,17467,567,279,12385,1057,278,13869,490.00,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,80, Swift ,13869,1057,278,0,183.5,0.5259363108351692,0.459375,252.625,1035.484375,292.625,1074.4921875,5,17,Soldiers eating chocolate,1,80,17467,1057,278,13869,843,309,15636,216.23,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,93, strategy ,15636,843,309,1,417.30000019073486,0.8297872340425532,0.484375,292.625,842.71875,332.625,911.75,6,13,Soldiers eating chocolate,1,93,17467,843,309,15636,1035,304,15969,192.07,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,98, years. ,15969,1035,304,0,233.30000019073486,0.024223107569721115,0.334375,292.625,1033.8125,332.625,1082.8359375,6,18,Soldiers eating chocolate,1,98,17467,1035,304,15969,927,353,17470,118.60,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,112, love ,17470,927,353,1,249.69999980926514,0.1195808506266694,0.509375,332.625,926.453125,372.625,964.4765625,7,14,Soldiers eating chocolate,1,112,17467,927,353,17470,380,426,17902,551.85,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,133, something ,17902,380,426,1,217.09999990463257,0.08659391358353297,0.284375,412.625,346.375,452.625,434.4296875,9,1,Soldiers eating chocolate,1,133,17467,380,426,17902,655,391,18652,277.22,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,124," thinking, ",18652,655,391,0,183.30000019073486,0.9356972457167643,0.434375,372.625,644.5859375,412.625,716.6328125,8,10,Soldiers eating chocolate,1,124,17467,655,391,18652,934,428,20919,281.44,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
SCVYFQMV,33916,3,adv,14,4,43,44,147, customers ,20919,934,428,0,233.40000009536743,0.9570426910446437,0.559375,412.625,929.7578125,452.625,1017.78125,9,15,Soldiers eating chocolate,1,147,17467,934,428,20919,,,,,,,,,1970-01-01T00:00:00.634Z,,,,,,,,,spotlight-sona
